Paragraph, AlgoTime(ms), Result Matrix, Chapter
0, 441.111, 17420, 1
1, 317.77, 12730, 1
2, 522.0780000000001, 21440, 1
3, 383.935, 14740, 1
4, 606.299, 24790, 1
5, 639.957, 26130, 1
6, 453.1, 17420, 1
7, 505.37299999999993, 20770, 1
8, 302.354, 11390, 1
9, 591.51, 23450, 1
10, 476.462, 17420, 1
11, 405.372, 16080, 1
12, 388.699, 15410, 1
13, 553.197, 21440, 1
14, 389.33299999999997, 15410, 1
15, 616.163, 26130, 1
16, 690.1429999999999, 28140, 1
17, 558.26, 21440, 1
18, 839.7320000000001, 35510, 1
19, 526.3910000000001, 21440, 1
20, 291.511, 11390, 1
21, 730.132, 30150, 1
22, 417.594, 17779, 2
23, 336.46500000000003, 13141, 2
24, 977.317, 40196, 2
25, 394.004, 16233, 2
26, 485.488, 20098, 2
27, 487.042, 20871, 2
28, 664.2810000000001, 28601, 2
29, 851.4300000000001, 35558, 2
30, 990.4979999999999, 44061, 2
31, 366.56, 13914, 2
32, 419.341, 16233, 2
33, 1072.68, 44834, 2
34, 502.884, 20871, 2
35, 911.123, 37877, 2
36, 1019.86, 43288, 2
37, 478.967, 19325, 2
38, 751.907, 29374, 2
39, 641.892, 25509, 2
40, 311.73499999999996, 11595, 2
41, 544.344, 22417, 2
42, 621.213, 25509, 2
43, 418.851, 16233, 2
44, 652.517, 23963, 2
45, 393.389, 15093, 3
46, 410.13500000000005, 16211, 3
47, 246.521, 9503, 3
48, 484.59499999999997, 20124, 3
49, 225.332, 8944, 3
50, 517.247, 21242, 3
51, 529.134, 22919, 3
52, 642.641, 26832, 3
53, 542.377, 22360, 3
54, 279.537, 11180, 3
55, 324.375, 12857, 3
56, 966.433, 40807, 3
57, 721.241, 31304, 3
58, 359.91200000000003, 13975, 3
59, 436.34299999999996, 17888, 3
60, 424.86, 17028, 4
61, 217.205, 8256, 4
62, 366.525, 15480, 4
63, 432.817, 18060, 4
64, 384.848, 16512, 4
65, 240.072, 8256, 4
66, 371.97999999999996, 16512, 4
67, 667.725, 28380, 4
68, 129.53, 4128, 4
69, 158.776, 4644, 4
70, 858.2180000000001, 37152, 4
71, 81.547, 2580, 4
72, 317.406, 10836, 4
73, 574.001, 23736, 4
74, 150.75, 3096, 4
75, 645.897, 27864, 4
76, 182.188, 6708, 4
77, 605.438, 22080, 5
78, 534.769, 21160, 5
79, 353.861, 11960, 5
80, 297.385, 11500, 5
81, 323.653, 12880, 5
82, 443.247, 16100, 5
83, 156.04199999999997, 4140, 5
84, 559.901, 23000, 5
85, 418.713, 16100, 5
86, 241.615, 8280, 5
87, 416.626, 17480, 5
88, 395.699, 16100, 5
89, 211.425, 7820, 5
90, 660.8439999999999, 25760, 5
91, 318.762, 11425, 6
92, 393.127, 13710, 6
93, 344.615, 12796, 6
94, 439.707, 16452, 6
95, 259.926, 8683, 6
96, 440.029, 18280, 6
97, 143.178, 5484, 6
98, 312.08200000000005, 12796, 6
99, 633.123, 26963, 6
100, 496.49100000000004, 18280, 6
101, 437.379, 17366, 6
102, 246.934, 8226, 6
103, 596.838, 24221, 6
104, 290.208, 10054, 6
105, 94.9465, 3370, 7
106, 379.072, 14491, 7
107, 360.389, 12132, 7
108, 358.245, 13143, 7
109, 221.46099999999998, 8425, 7
110, 191.312, 6403, 7
111, 356.148, 14154, 7
112, 437.898, 17861, 7
113, 373.065, 13817, 7
114, 159.20999999999998, 5729, 7
115, 478.125, 20057, 8
116, 445.954, 16175, 8
117, 548.2280000000001, 23292, 8
118, 275.515, 10352, 8
119, 908.7760000000001, 38820, 8
120, 390.436, 16175, 8
121, 579.864, 23939, 8
122, 604.12, 25233, 8
123, 1311.6399999999999, 56936, 8
124, 431.452, 17469, 8
125, 794.0310000000001, 35585, 8
126, 371.535, 14234, 8
127, 498.572, 21351, 8
128, 449.31100000000004, 17469, 8
129, 603.653, 25880, 8
130, 155.28, 5176, 8
131, 735.538, 29115, 8
132, 1325.2900000000002, 57523, 9
133, 881.737, 35834, 9
134, 637.796, 25461, 9
135, 560.322, 21689, 9
136, 545.2860000000001, 23575, 9
137, 293.145, 10373, 9
138, 118.29599999999999, 3772, 9
139, 113.97500000000001, 3772, 9
140, 149.708, 5658, 9
141, 555.995, 21689, 9
142, 399.123, 16031, 9
143, 1297.83, 54694, 9
144, 880.885, 34891, 9
145, 480.038, 18860, 9
146, 781.693, 31119, 9
147, 923.26, 37720, 9
148, 608.462, 23575, 9
149, 832.84, 33948, 9
150, 841.649, 33005, 9
151, 579.121, 22632, 9
152, 533.12, 20746, 9
153, 1115.6200000000001, 46207, 9
154, 355.524, 14145, 9
155, 773.241, 33005, 9
156, 861.158, 34891, 9
157, 786.416, 31119, 9
158, 997.464, 40549, 9
159, 863.3100000000001, 36777, 9
160, 511.43000000000006, 19803, 9
161, 593.035, 23575, 9
162, 891.829, 36777, 9
163, 383.709, 14145, 9
164, 36.479699999999994, 1425, 10
165, 92.8658, 3705, 10
166, 129.81599999999997, 3135, 10
