Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 63.780699999999996, 17420, 1, 17387
1, 49.6629, 12730, 1, 12659
2, 65.0757, 21440, 1, 21252
3, 37.0965, 14740, 1, 14612
4, 69.803, 24790, 1, 24566
5, 79.8488, 26130, 1, 26050
6, 81.363, 17420, 1, 17303
7, 68.6085, 20770, 1, 20688
8, 46.424, 11390, 1, 11327
9, 97.3844, 23450, 1, 23262
10, 46.4877, 17420, 1, 17306
11, 60.4021, 16080, 1, 16047
12, 58.6706, 15410, 1, 15362
13, 113.23, 21440, 1, 21342
14, 52.8212, 15410, 1, 15302
15, 80.9739, 26130, 1, 25899
16, 155.13, 28140, 1, 28068
17, 69.0446, 21440, 1, 21295
18, 146.34900000000002, 35510, 1, 35309
19, 70.4122, 21440, 1, 21398
20, 22.5148, 11390, 1, 11161
21, 101.52, 30150, 1, 30081
22, 63.3831, 17779, 2, 17709
23, 31.499899999999997, 13141, 2, 13106
24, 95.7918, 40196, 2, 39890
25, 41.9504, 16233, 2, 16179
26, 97.36930000000001, 20098, 2, 19941
27, 59.006099999999996, 20871, 2, 20813
28, 66.1507, 28601, 2, 28548
29, 95.0825, 35558, 2, 35309
30, 111.202, 44061, 2, 43843
31, 45.532999999999994, 13914, 2, 13897
32, 72.9154, 16233, 2, 16142
33, 116.658, 44834, 2, 44650
34, 80.61930000000001, 20871, 2, 20728
35, 154.68699999999998, 37877, 2, 37659
36, 89.6386, 43288, 2, 42935
37, 55.012699999999995, 19325, 2, 19224
38, 82.1742, 29374, 2, 29280
39, 117.39099999999999, 25509, 2, 25355
40, 26.2252, 11595, 2, 11534
41, 55.3337, 22417, 2, 22361
42, 84.9168, 25509, 2, 25382
43, 40.8139, 16233, 2, 16196
44, 55.956199999999995, 23963, 2, 23819
45, 45.8578, 15093, 3, 15022
46, 54.690799999999996, 16211, 3, 16171
47, 32.531400000000005, 9503, 3, 9477
48, 40.6407, 20124, 3, 20088
49, 33.974, 8944, 3, 8934
50, 78.7375, 21242, 3, 21138
51, 65.5703, 22919, 3, 22824
52, 88.2601, 26832, 3, 26766
53, 100.723, 22360, 3, 22229
54, 38.590199999999996, 11180, 3, 11108
