Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 43.7205, 17420, 1, 17387
1, 30.0217, 12730, 1, 12659
2, 57.8303, 21440, 1, 21252
3, 52.5354, 14740, 1, 14612
4, 92.2863, 24790, 1, 24566
5, 83.1915, 26130, 1, 26050
6, 58.9345, 17420, 1, 17303
7, 90.8296, 20770, 1, 20688
8, 32.8495, 11390, 1, 11327
9, 61.657999999999994, 23450, 1, 23262
10, 66.1963, 17420, 1, 17306
11, 41.2661, 16080, 1, 16047
12, 37.5278, 15410, 1, 15362
13, 63.858200000000004, 21440, 1, 21342
14, 66.93350000000001, 15410, 1, 15302
15, 79.7324, 26130, 1, 25899
16, 98.6342, 28140, 1, 28068
17, 52.4721, 21440, 1, 21295
18, 108.346, 35510, 1, 35309
19, 83.8836, 21440, 1, 21398
20, 52.6116, 11390, 1, 11161
21, 115.996, 30150, 1, 30081
22, 75.12480000000001, 17779, 2, 17709
23, 63.8432, 13141, 2, 13106
24, 124.686, 40196, 2, 39890
25, 46.2427, 16233, 2, 16179
26, 94.58579999999999, 20098, 2, 19941
27, 86.67479999999999, 20871, 2, 20813
28, 107.55199999999999, 28601, 2, 28548
29, 85.2757, 35558, 2, 35309
30, 124.35799999999999, 44061, 2, 43843
31, 58.7866, 13914, 2, 13897
32, 70.6354, 16233, 2, 16142
33, 107.57300000000001, 44834, 2, 44650
34, 87.2361, 20871, 2, 20728
35, 119.056, 37877, 2, 37659
36, 149.77499999999998, 43288, 2, 42935
37, 56.0518, 19325, 2, 19224
38, 78.3553, 29374, 2, 29280
39, 98.1738, 25509, 2, 25355
40, 56.4379, 11595, 2, 11534
41, 64.9771, 22417, 2, 22361
42, 94.8788, 25509, 2, 25382
43, 71.14750000000001, 16233, 2, 16196
44, 85.96170000000001, 23963, 2, 23819
45, 35.5773, 15093, 3, 15022
46, 41.8785, 16211, 3, 16171
47, 23.6951, 9503, 3, 9477
48, 48.500099999999996, 20124, 3, 20088
49, 40.2928, 8944, 3, 8934
50, 59.442, 21242, 3, 21138
51, 92.36909999999999, 22919, 3, 22824
52, 74.6896, 26832, 3, 26766
53, 92.8642, 22360, 3, 22229
54, 61.5112, 11180, 3, 11108
55, 43.777499999999996, 12857, 3, 12818
56, 102.658, 40807, 3, 40592
57, 76.98389999999999, 31304, 3, 31141
58, 72.3473, 13975, 3, 13915
59, 59.90560000000001, 17888, 3, 17795
60, 57.011399999999995, 17028, 4, 16950
61, 26.7604, 8256, 4, 8231
62, 69.6484, 15480, 4, 15430
63, 80.501, 18060, 4, 18023
64, 75.1791, 16512, 4, 16423
65, 41.7413, 8256, 4, 8182
66, 53.6827, 16512, 4, 16407
67, 82.1157, 28380, 4, 28281
68, 16.8523, 4128, 4, 4102
69, 16.4768, 4644, 4, 4641
70, 127.937, 37152, 4, 37014
71, 7.113910000000001, 2580, 4, 2569
72, 58.492599999999996, 10836, 4, 10810
73, 101.826, 23736, 4, 23671
74, 19.8874, 3096, 4, 3090
75, 78.27720000000001, 27864, 4, 27805
76, 20.5994, 6708, 4, 6696
77, 52.6068, 22080, 5, 21917
78, 132.40099999999998, 21160, 5, 21020
79, 45.2156, 11960, 5, 11842
80, 53.5565, 11500, 5, 11419
81, 48.7495, 12880, 5, 12784
82, 81.8086, 16100, 5, 15968
83, 26.625, 4140, 5, 4111
84, 70.8705, 23000, 5, 22804
85, 76.8901, 16100, 5, 16063
86, 51.7127, 8280, 5, 8260
87, 81.6631, 17480, 5, 17331
88, 50.209900000000005, 16100, 5, 16058
89, 31.0099, 7820, 5, 7796
90, 104.649, 25760, 5, 25649
91, 59.064899999999994, 11425, 6, 11353
92, 91.6256, 13710, 6, 13598
93, 55.435900000000004, 12796, 6, 12739
94, 53.5466, 16452, 6, 16336
95, 25.1995, 8683, 6, 8562
96, 59.165099999999995, 18280, 6, 18132
97, 33.242, 5484, 6, 5393
98, 58.2939, 12796, 6, 12677
99, 106.333, 26963, 6, 26649
100, 45.1889, 18280, 6, 18146
101, 79.45349999999999, 17366, 6, 17119
102, 63.7493, 8226, 6, 8193
103, 102.975, 24221, 6, 24143
104, 49.9846, 10054, 6, 10000
105, 10.8129, 3370, 7, 3347
106, 50.0575, 14491, 7, 14398
107, 54.750600000000006, 12132, 7, 12080
108, 86.5656, 13143, 7, 13084
109, 54.703799999999994, 8425, 7, 8401
110, 27.645599999999998, 6403, 7, 6325
111, 41.531, 14154, 7, 14100
112, 42.94690000000001, 17861, 7, 17770
113, 71.06899999999999, 13817, 7, 13743
114, 25.738799999999998, 5729, 7, 5704
115, 85.3353, 20057, 8, 19927
116, 39.0528, 16175, 8, 16082
117, 86.9378, 23292, 8, 23170
118, 48.0462, 10352, 8, 10324
119, 106.914, 38820, 8, 38604
120, 65.2399, 16175, 8, 16105
121, 72.70500000000001, 23939, 8, 23820
122, 95.2733, 25233, 8, 25150
123, 169.324, 56936, 8, 56653
124, 69.0397, 17469, 8, 17422
125, 88.7671, 35585, 8, 35329
126, 74.2568, 14234, 8, 14133
127, 55.9461, 21351, 8, 21278
128, 58.6902, 17469, 8, 17424
129, 95.8163, 25880, 8, 25654
130, 35.562000000000005, 5176, 8, 5149
131, 103.316, 29115, 8, 28787
132, 170.19500000000002, 57523, 9, 57259
133, 113.94999999999999, 35834, 9, 35647
134, 73.7978, 25461, 9, 25115
135, 53.0616, 21689, 9, 21636
136, 92.14070000000001, 23575, 9, 23418
137, 48.3644, 10373, 9, 10340
138, 25.5076, 3772, 9, 3757
139, 15.2885, 3772, 9, 3760
140, 19.5125, 5658, 9, 5636
141, 76.251, 21689, 9, 21487
142, 67.0686, 16031, 9, 15976
143, 144.37900000000002, 54694, 9, 54426
144, 90.3366, 34891, 9, 34846
145, 69.84089999999999, 18860, 9, 18808
146, 109.598, 31119, 9, 30984
147, 98.5872, 37720, 9, 37642
148, 69.4491, 23575, 9, 23376
149, 109.36, 33948, 9, 33776
150, 120.593, 33005, 9, 32737
151, 61.3653, 22632, 9, 22502
152, 90.7739, 20746, 9, 20567
153, 137.679, 46207, 9, 46062
154, 64.50160000000001, 14145, 9, 14096
155, 75.8477, 33005, 9, 32857
156, 95.1617, 34891, 9, 34813
157, 81.1725, 31119, 9, 31028
158, 114.58200000000001, 40549, 9, 40485
159, 104.39099999999999, 36777, 9, 36681
160, 84.0862, 19803, 9, 19727
161, 74.79270000000001, 23575, 9, 23428
162, 103.98599999999999, 36777, 9, 36593
163, 35.8145, 14145, 9, 14060
164, 3.57569, 1425, 10, 1375
165, 8.89631, 3705, 10, 3537
166, 7.964570000000001, 3135, 10, 3050
