Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 216.866, 17420, 1, 17387
1, 136.157, 12730, 1, 12659
2, 234.687, 21440, 1, 21252
3, 191.54399999999998, 14740, 1, 14612
4, 277.358, 24790, 1, 24566
5, 291.359, 26130, 1, 26050
6, 206.736, 17420, 1, 17303
7, 209.33499999999998, 20770, 1, 20688
8, 130.305, 11390, 1, 11327
9, 271.61, 23450, 1, 23262
10, 219.053, 17420, 1, 17306
11, 176.527, 16080, 1, 16047
12, 201.659, 15410, 1, 15362
13, 247.982, 21440, 1, 21342
14, 181.008, 15410, 1, 15302
15, 280.939, 26130, 1, 25899
16, 309.539, 28140, 1, 28068
17, 267.044, 21440, 1, 21295
18, 373.849, 35510, 1, 35309
19, 243.76600000000002, 21440, 1, 21398
20, 118.395, 11390, 1, 11161
21, 319.386, 30150, 1, 30081
22, 187.84300000000002, 17779, 2, 17709
23, 146.756, 13141, 2, 13106
24, 420.35499999999996, 40196, 2, 39890
25, 166.934, 16233, 2, 16179
26, 223.695, 20098, 2, 19941
27, 227.42000000000002, 20871, 2, 20813
28, 297.74, 28601, 2, 28548
29, 372.407, 35558, 2, 35309
30, 451.153, 44061, 2, 43843
31, 158.625, 13914, 2, 13897
32, 171.577, 16233, 2, 16142
33, 471.115, 44834, 2, 44650
34, 215.0, 20871, 2, 20728
35, 378.142, 37877, 2, 37659
36, 461.48499999999996, 43288, 2, 42935
37, 203.905, 19325, 2, 19224
38, 314.286, 29374, 2, 29280
39, 276.968, 25509, 2, 25355
40, 129.778, 11595, 2, 11534
41, 227.81199999999998, 22417, 2, 22361
42, 289.204, 25509, 2, 25382
43, 183.158, 16233, 2, 16196
44, 254.853, 23963, 2, 23819
45, 153.26999999999998, 15093, 3, 15022
46, 201.928, 16211, 3, 16171
47, 106.957, 9503, 3, 9477
48, 206.29, 20124, 3, 20088
49, 97.59230000000001, 8944, 3, 8934
50, 227.223, 21242, 3, 21138
51, 225.32399999999998, 22919, 3, 22824
52, 290.47499999999997, 26832, 3, 26766
53, 266.952, 22360, 3, 22229
54, 120.156, 11180, 3, 11108
55, 157.582, 12857, 3, 12818
56, 463.39000000000004, 40807, 3, 40592
57, 329.456, 31304, 3, 31141
58, 160.507, 13975, 3, 13915
59, 218.648, 17888, 3, 17795
60, 193.175, 17028, 4, 16950
61, 94.3452, 8256, 4, 8231
62, 216.651, 15480, 4, 15430
63, 188.858, 18060, 4, 18023
64, 184.195, 16512, 4, 16423
65, 126.226, 8256, 4, 8182
66, 172.224, 16512, 4, 16407
67, 292.585, 28380, 4, 28281
68, 49.342200000000005, 4128, 4, 4102
69, 57.0353, 4644, 4, 4641
70, 426.998, 37152, 4, 37014
71, 31.182000000000002, 2580, 4, 2569
72, 172.739, 10836, 4, 10810
73, 281.532, 23736, 4, 23671
74, 37.5223, 3096, 4, 3090
75, 295.18699999999995, 27864, 4, 27805
76, 112.47, 6708, 4, 6696
77, 246.81900000000002, 22080, 5, 21917
78, 214.965, 21160, 5, 21020
79, 154.51500000000001, 11960, 5, 11842
80, 124.096, 11500, 5, 11419
81, 136.666, 12880, 5, 12784
82, 190.331, 16100, 5, 15968
83, 49.8823, 4140, 5, 4111
84, 238.36499999999998, 23000, 5, 22804
85, 191.75, 16100, 5, 16063
86, 93.39, 8280, 5, 8260
87, 190.909, 17480, 5, 17331
88, 176.734, 16100, 5, 16058
89, 131.286, 7820, 5, 7796
90, 268.854, 25760, 5, 25649
91, 113.641, 11425, 6, 11353
92, 169.192, 13710, 6, 13598
93, 165.594, 12796, 6, 12739
94, 212.44, 16452, 6, 16336
95, 96.9913, 8683, 6, 8562
96, 192.633, 18280, 6, 18132
97, 58.026, 5484, 6, 5393
98, 145.052, 12796, 6, 12677
99, 304.34499999999997, 26963, 6, 26649
100, 231.609, 18280, 6, 18146
101, 210.725, 17366, 6, 17119
102, 116.26100000000001, 8226, 6, 8193
103, 250.363, 24221, 6, 24143
104, 111.44900000000001, 10054, 6, 10000
105, 38.309000000000005, 3370, 7, 3347
106, 167.614, 14491, 7, 14398
107, 131.888, 12132, 7, 12080
108, 169.03099999999998, 13143, 7, 13084
109, 87.2565, 8425, 7, 8401
110, 113.00200000000001, 6403, 7, 6325
111, 162.673, 14154, 7, 14100
112, 194.889, 17861, 7, 17770
113, 149.64, 13817, 7, 13743
114, 65.0504, 5729, 7, 5704
115, 221.869, 20057, 8, 19927
116, 214.027, 16175, 8, 16082
117, 239.471, 23292, 8, 23170
118, 111.964, 10352, 8, 10324
119, 389.52799999999996, 38820, 8, 38604
120, 178.45600000000002, 16175, 8, 16105
121, 253.68800000000002, 23939, 8, 23820
122, 279.18399999999997, 25233, 8, 25150
123, 579.5409999999999, 56936, 8, 56653
124, 192.999, 17469, 8, 17422
125, 377.751, 35585, 8, 35329
126, 153.18, 14234, 8, 14133
127, 221.205, 21351, 8, 21278
128, 186.389, 17469, 8, 17424
129, 273.67, 25880, 8, 25654
130, 58.7145, 5176, 8, 5149
131, 309.23499999999996, 29115, 8, 28787
132, 570.142, 57523, 9, 57259
133, 374.78099999999995, 35834, 9, 35647
134, 264.93899999999996, 25461, 9, 25115
135, 248.032, 21689, 9, 21636
136, 247.962, 23575, 9, 23418
137, 117.85, 10373, 9, 10340
138, 55.9942, 3772, 9, 3757
139, 43.558, 3772, 9, 3760
140, 64.6607, 5658, 9, 5636
141, 239.433, 21689, 9, 21487
142, 162.206, 16031, 9, 15976
143, 573.521, 54694, 9, 54426
144, 380.076, 34891, 9, 34846
145, 200.316, 18860, 9, 18808
146, 334.09299999999996, 31119, 9, 30984
147, 382.899, 37720, 9, 37642
148, 244.65200000000002, 23575, 9, 23376
149, 360.586, 33948, 9, 33776
150, 361.57800000000003, 33005, 9, 32737
151, 261.413, 22632, 9, 22502
152, 221.276, 20746, 9, 20567
153, 492.978, 46207, 9, 46062
154, 147.72899999999998, 14145, 9, 14096
155, 327.673, 33005, 9, 32857
156, 375.141, 34891, 9, 34813
157, 342.765, 31119, 9, 31028
158, 427.163, 40549, 9, 40485
159, 404.43899999999996, 36777, 9, 36681
160, 229.903, 19803, 9, 19727
161, 262.79, 23575, 9, 23428
162, 382.964, 36777, 9, 36593
163, 146.727, 14145, 9, 14060
164, 28.557599999999997, 1425, 10, 1375
165, 39.495799999999996, 3705, 10, 3537
166, 35.9298, 3135, 10, 3050
