Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 277.204, 17420, 1, 17344
1, 316.349, 12730, 1, 12187
2, 322.709, 21440, 1, 20901
3, 308.26300000000003, 14740, 1, 14724
4, 277.477, 24790, 1, 24717
5, 299.589, 26130, 1, 26107
6, 262.661, 17420, 1, 17404
7, 314.409, 20770, 1, 18833
8, 310.592, 11390, 1, 11371
9, 276.66200000000003, 23450, 1, 23419
10, 274.174, 17420, 1, 16919
11, 252.382, 16080, 1, 16073
12, 306.22700000000003, 15410, 1, 14440
13, 296.24, 21440, 1, 21428
14, 267.817, 15410, 1, 15389
15, 303.79699999999997, 26130, 1, 23183
16, 298.262, 28140, 1, 26196
17, 270.31899999999996, 21440, 1, 21433
18, 300.828, 35510, 1, 33550
19, 263.542, 21440, 1, 20949
20, 325.141, 11390, 1, 11376
21, 333.32800000000003, 30150, 1, 27723
22, 304.747, 17779, 2, 15920
23, 380.615, 13141, 2, 13110
24, 593.898, 40196, 2, 39530
25, 398.776, 16233, 2, 14981
26, 516.236, 20098, 2, 19469
27, 384.76700000000005, 20871, 2, 20209
28, 457.493, 28601, 2, 27368
29, 530.37, 35558, 2, 35537
30, 473.03499999999997, 44061, 2, 39789
31, 412.16999999999996, 13914, 2, 12097
32, 469.948, 16233, 2, 15018
33, 559.628, 44834, 2, 41176
34, 524.929, 20871, 2, 19051
35, 468.348, 37877, 2, 34825
36, 520.474, 43288, 2, 41447
37, 325.41900000000004, 19325, 2, 18712
38, 402.197, 29374, 2, 26926
39, 332.88800000000003, 25509, 2, 25481
40, 334.909, 11595, 2, 11585
41, 320.386, 22417, 2, 20594
42, 379.821, 25509, 2, 24872
43, 308.925, 16233, 2, 16230
44, 334.113, 23963, 2, 22742
45, 270.444, 15093, 3, 13904
46, 226.789, 16211, 3, 14620
47, 276.52700000000004, 9503, 3, 8715
48, 317.57800000000003, 20124, 3, 17819
49, 243.845, 8944, 3, 8168
50, 290.80899999999997, 21242, 3, 20827
51, 288.527, 22919, 3, 21721
52, 261.365, 26832, 3, 24903
53, 269.54299999999995, 22360, 3, 20459
54, 226.486, 11180, 3, 11156
55, 213.666, 12857, 3, 11341
56, 281.749, 40807, 3, 38860
57, 256.911, 31304, 3, 29771
58, 212.481, 13975, 3, 13209
59, 238.548, 17888, 3, 17864
60, 206.637, 17028, 4, 16250
61, 221.17800000000003, 8256, 4, 8226
62, 201.407, 15480, 4, 15438
63, 216.885, 18060, 4, 16328
64, 233.071, 16512, 4, 14460
65, 219.756, 8256, 4, 7556
66, 256.532, 16512, 4, 14806
67, 228.08100000000002, 28380, 4, 26342
68, 176.72199999999998, 4128, 4, 4127
69, 195.879, 4644, 4, 4644
70, 254.04700000000003, 37152, 4, 34767
71, 177.04500000000002, 2580, 4, 2572
72, 209.873, 10836, 4, 10158
73, 225.992, 23736, 4, 23396
74, 190.054, 3096, 4, 3096
75, 303.234, 27864, 4, 26165
76, 230.39100000000002, 6708, 4, 6356
77, 230.883, 22080, 5, 21379
78, 204.078, 21160, 5, 19605
79, 217.738, 11960, 5, 11631
80, 186.024, 11500, 5, 11160
81, 211.626, 12880, 5, 12787
82, 189.66, 16100, 5, 15754
83, 191.123, 4140, 5, 4125
84, 259.63100000000003, 23000, 5, 21136
85, 218.621, 16100, 5, 14916
86, 226.358, 8280, 5, 7701
87, 213.04500000000002, 17480, 5, 15708
88, 202.942, 16100, 5, 14892
89, 217.337, 7820, 5, 7800
90, 232.509, 25760, 5, 25434
91, 196.744, 11425, 6, 11061
92, 188.193, 13710, 6, 13640
93, 193.95000000000002, 12796, 6, 12150
94, 207.816, 16452, 6, 15485
95, 227.247, 8683, 6, 8610
96, 219.699, 18280, 6, 17340
97, 178.701, 5484, 6, 5422
98, 192.237, 12796, 6, 12763
99, 230.13500000000002, 26963, 6, 26847
100, 217.14700000000002, 18280, 6, 17926
101, 189.726, 17366, 6, 17326
102, 239.185, 8226, 6, 7640
103, 287.578, 24221, 6, 23342
104, 182.406, 10054, 6, 9759
105, 164.5, 3370, 7, 3323
106, 156.804, 14491, 7, 14195
107, 169.733, 12132, 7, 11503
108, 156.18, 13143, 7, 12387
109, 134.398, 8425, 7, 7146
110, 168.544, 6403, 7, 6348
111, 178.54999999999998, 14154, 7, 13518
112, 163.02800000000002, 17861, 7, 17048
113, 151.833, 13817, 7, 13744
114, 163.709, 5729, 7, 5360
115, 275.10200000000003, 20057, 8, 19440
116, 256.467, 16175, 8, 15609
117, 302.80800000000005, 23292, 8, 21777
118, 276.13300000000004, 10352, 8, 10289
119, 357.976, 38820, 8, 35745
120, 260.396, 16175, 8, 14743
121, 269.75300000000004, 23939, 8, 22888
122, 312.993, 25233, 8, 24159
123, 420.142, 56936, 8, 54006
124, 294.317, 17469, 8, 16937
125, 300.73299999999995, 35585, 8, 34128
126, 261.095, 14234, 8, 13265
127, 302.618, 21351, 8, 20366
128, 252.44699999999997, 17469, 8, 16969
129, 266.483, 25880, 8, 24406
130, 223.42000000000002, 5176, 8, 5167
131, 268.629, 29115, 8, 29070
132, 500.068, 57523, 9, 53511
133, 479.822, 35834, 9, 34224
134, 473.433, 25461, 9, 25408
135, 381.54900000000004, 21689, 9, 21642
136, 372.36, 23575, 9, 21999
137, 361.27, 10373, 9, 10373
138, 290.111, 3772, 9, 3770
139, 283.677, 3772, 9, 3770
140, 313.437, 5658, 9, 5656
141, 385.927, 21689, 9, 19353
142, 449.515, 16031, 9, 14472
143, 495.94, 54694, 9, 51583
144, 400.687, 34891, 9, 33324
145, 387.072, 18860, 9, 17315
146, 432.712, 31119, 9, 29529
147, 423.921, 37720, 9, 36139
148, 368.559, 23575, 9, 21958
149, 419.186, 33948, 9, 30026
150, 383.647, 33005, 9, 32939
151, 362.21, 22632, 9, 20269
152, 379.236, 20746, 9, 18375
153, 452.87300000000005, 46207, 9, 45390
154, 398.863, 14145, 9, 11817
155, 401.583, 33005, 9, 29885
156, 390.353, 34891, 9, 32561
157, 393.29900000000004, 31119, 9, 26487
158, 482.643, 40549, 9, 36689
159, 412.99, 36777, 9, 35990
160, 432.424, 19803, 9, 19800
161, 375.796, 23575, 9, 23547
162, 500.55899999999997, 36777, 9, 32140
163, 400.686, 14145, 9, 13373
164, 63.23819999999999, 1425, 10, 1402
165, 104.97099999999999, 3705, 10, 3612
166, 144.69299999999998, 3135, 10, 3086
