Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 286.982, 17420, 1, 16983
1, 301.69800000000004, 12730, 1, 12228
2, 340.675, 21440, 1, 20956
3, 292.772, 14740, 1, 14295
4, 342.767, 24790, 1, 23797
5, 311.699, 26130, 1, 25827
6, 285.935, 17420, 1, 16933
7, 308.00699999999995, 20770, 1, 20260
8, 309.00600000000003, 11390, 1, 10554
9, 328.224, 23450, 1, 22740
10, 266.56, 17420, 1, 16504
11, 276.38, 16080, 1, 15024
12, 383.19599999999997, 15410, 1, 14382
13, 410.925, 21440, 1, 20735
14, 372.35699999999997, 15410, 1, 14691
15, 406.106, 26130, 1, 24611
16, 409.311, 28140, 1, 26882
17, 324.017, 21440, 1, 20398
18, 447.86199999999997, 35510, 1, 33695
19, 371.029, 21440, 1, 20687
20, 349.215, 11390, 1, 10685
21, 378.68600000000004, 30150, 1, 29120
22, 355.489, 17779, 2, 17376
23, 371.821, 13141, 2, 12454
24, 449.55899999999997, 40196, 2, 38283
25, 416.71599999999995, 16233, 2, 15411
26, 362.402, 20098, 2, 19062
27, 413.03000000000003, 20871, 2, 20030
28, 447.75399999999996, 28601, 2, 26909
29, 447.014, 35558, 2, 33906
30, 463.99, 44061, 2, 43364
31, 407.731, 13914, 2, 13646
32, 456.583, 16233, 2, 15396
33, 444.915, 44834, 2, 43632
34, 381.72299999999996, 20871, 2, 19846
35, 479.311, 37877, 2, 35935
36, 437.21900000000005, 43288, 2, 40826
37, 387.589, 19325, 2, 18551
38, 477.848, 29374, 2, 28004
39, 424.541, 25509, 2, 24450
40, 347.404, 11595, 2, 11016
41, 385.384, 22417, 2, 21831
42, 466.231, 25509, 2, 24279
43, 385.753, 16233, 2, 15128
44, 425.03999999999996, 23963, 2, 23713
45, 348.30699999999996, 15093, 3, 14530
46, 277.643, 16211, 3, 15307
47, 332.13100000000003, 9503, 3, 8783
48, 349.39300000000003, 20124, 3, 19692
49, 291.553, 8944, 3, 8564
50, 373.936, 21242, 3, 20423
51, 371.393, 22919, 3, 21510
52, 344.419, 26832, 3, 25576
53, 342.92699999999996, 22360, 3, 21787
54, 284.766, 11180, 3, 10643
55, 237.624, 12857, 3, 12374
56, 469.447, 40807, 3, 38737
57, 343.375, 31304, 3, 29994
58, 315.608, 13975, 3, 13731
59, 355.862, 17888, 3, 17218
60, 303.027, 17028, 4, 16515
61, 247.439, 8256, 4, 7773
62, 288.168, 15480, 4, 15016
63, 290.921, 18060, 4, 17482
64, 273.373, 16512, 4, 15996
65, 259.942, 8256, 4, 7880
66, 311.71, 16512, 4, 16074
67, 336.529, 28380, 4, 27949
68, 229.269, 4128, 4, 3816
69, 241.369, 4644, 4, 4474
70, 501.766, 37152, 4, 35624
71, 185.21599999999998, 2580, 4, 2360
72, 238.02599999999998, 10836, 4, 10383
73, 307.21999999999997, 23736, 4, 23361
74, 180.43300000000002, 3096, 4, 2863
75, 305.19, 27864, 4, 27357
76, 222.519, 6708, 4, 6428
77, 291.058, 22080, 5, 20695
78, 232.163, 21160, 5, 19844
79, 230.594, 11960, 5, 11196
80, 248.50900000000001, 11500, 5, 10557
81, 267.449, 12880, 5, 11663
82, 283.079, 16100, 5, 15383
83, 185.683, 4140, 5, 3857
84, 215.557, 23000, 5, 21594
85, 214.401, 16100, 5, 15304
86, 224.712, 8280, 5, 8024
87, 272.404, 17480, 5, 16963
88, 220.83, 16100, 5, 15087
89, 247.95700000000002, 7820, 5, 7452
90, 307.32300000000004, 25760, 5, 24548
91, 282.605, 11425, 6, 11008
92, 327.445, 13710, 6, 13074
93, 254.36999999999998, 12796, 6, 11818
94, 245.92700000000002, 16452, 6, 15292
95, 241.484, 8683, 6, 7745
96, 306.488, 18280, 6, 16836
97, 230.522, 5484, 6, 4801
98, 256.404, 12796, 6, 12052
99, 352.457, 26963, 6, 25614
100, 292.313, 18280, 6, 17143
101, 263.826, 17366, 6, 16606
102, 242.634, 8226, 6, 7729
103, 299.157, 24221, 6, 23520
104, 252.11099999999996, 10054, 6, 9523
105, 137.233, 3370, 7, 2918
106, 205.103, 14491, 7, 13781
107, 207.101, 12132, 7, 11322
108, 224.531, 13143, 7, 12883
109, 233.003, 8425, 7, 7864
110, 160.865, 6403, 7, 5892
111, 147.948, 14154, 7, 13362
112, 209.371, 17861, 7, 16659
113, 223.92100000000002, 13817, 7, 12844
114, 175.10999999999999, 5729, 7, 5371
115, 354.541, 20057, 8, 18770
116, 289.4, 16175, 8, 15467
117, 345.034, 23292, 8, 22758
118, 360.96299999999997, 10352, 8, 9778
119, 417.06300000000005, 38820, 8, 37479
120, 306.79699999999997, 16175, 8, 15993
121, 323.031, 23939, 8, 22847
122, 378.932, 25233, 8, 23901
123, 481.622, 56936, 8, 54885
124, 322.711, 17469, 8, 16596
125, 414.36, 35585, 8, 34693
126, 302.363, 14234, 8, 13599
127, 339.594, 21351, 8, 20879
128, 357.995, 17469, 8, 16823
129, 398.31899999999996, 25880, 8, 25216
130, 225.828, 5176, 8, 5024
131, 347.208, 29115, 8, 27760
132, 602.831, 57523, 9, 55625
133, 450.505, 35834, 9, 34560
134, 486.223, 25461, 9, 24677
135, 450.161, 21689, 9, 20683
136, 510.313, 23575, 9, 23210
137, 432.938, 10373, 9, 9988
138, 303.565, 3772, 9, 3756
139, 274.48, 3772, 9, 3750
140, 361.27500000000003, 5658, 9, 5627
141, 436.73400000000004, 21689, 9, 20934
142, 482.89, 16031, 9, 15722
143, 562.917, 54694, 9, 52143
144, 573.562, 34891, 9, 33169
