Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 317.60699999999997, 17420, 1, 16983
1, 256.398, 12730, 1, 12228
2, 262.374, 21440, 1, 20956
3, 305.153, 14740, 1, 14295
4, 262.048, 24790, 1, 23797
5, 355.045, 26130, 1, 25827
6, 342.557, 17420, 1, 16933
7, 314.998, 20770, 1, 20260
8, 302.555, 11390, 1, 10554
9, 292.968, 23450, 1, 22740
10, 270.08700000000005, 17420, 1, 16504
11, 333.205, 16080, 1, 15024
12, 266.169, 15410, 1, 14382
13, 263.591, 21440, 1, 20735
14, 316.88100000000003, 15410, 1, 14691
15, 291.07800000000003, 26130, 1, 24611
16, 363.389, 28140, 1, 26882
17, 370.909, 21440, 1, 20398
18, 374.74, 35510, 1, 33695
19, 312.99, 21440, 1, 20687
20, 263.34499999999997, 11390, 1, 10685
21, 264.7, 30150, 1, 29120
22, 358.188, 17779, 2, 17376
23, 338.258, 13141, 2, 12454
24, 391.6, 40196, 2, 38283
25, 352.777, 16233, 2, 15411
26, 334.632, 20098, 2, 19062
27, 308.278, 20871, 2, 20030
28, 428.439, 28601, 2, 26909
29, 436.303, 35558, 2, 33906
30, 427.15500000000003, 44061, 2, 43364
31, 353.122, 13914, 2, 13646
32, 267.668, 16233, 2, 15396
33, 451.193, 44834, 2, 43632
34, 394.494, 20871, 2, 19846
35, 361.742, 37877, 2, 35935
36, 426.919, 43288, 2, 40826
37, 306.68600000000004, 19325, 2, 18551
38, 415.536, 29374, 2, 28004
39, 295.553, 25509, 2, 24450
40, 309.245, 11595, 2, 11016
41, 325.334, 22417, 2, 21831
42, 320.149, 25509, 2, 24279
43, 333.772, 16233, 2, 15128
44, 408.63100000000003, 23963, 2, 23713
45, 294.671, 15093, 3, 14530
46, 288.791, 16211, 3, 15307
47, 304.965, 9503, 3, 8783
48, 226.569, 20124, 3, 19692
49, 235.68900000000002, 8944, 3, 8564
50, 334.493, 21242, 3, 20423
51, 262.584, 22919, 3, 21510
52, 390.723, 26832, 3, 25576
53, 314.895, 22360, 3, 21787
54, 298.16700000000003, 11180, 3, 10643
55, 347.404, 12857, 3, 12374
56, 356.049, 40807, 3, 38737
57, 329.929, 31304, 3, 29994
58, 223.349, 13975, 3, 13731
59, 237.63799999999998, 17888, 3, 17218
60, 235.941, 17028, 4, 16515
61, 215.758, 8256, 4, 7773
62, 247.994, 15480, 4, 15016
63, 274.431, 18060, 4, 17482
64, 278.36699999999996, 16512, 4, 15996
65, 213.10999999999999, 8256, 4, 7880
66, 291.43, 16512, 4, 16074
67, 295.53499999999997, 28380, 4, 27949
68, 189.708, 4128, 4, 3816
69, 196.082, 4644, 4, 4474
70, 340.84700000000004, 37152, 4, 35624
71, 149.611, 2580, 4, 2360
72, 227.256, 10836, 4, 10383
73, 213.089, 23736, 4, 23361
74, 153.245, 3096, 4, 2863
75, 313.316, 27864, 4, 27357
76, 200.72, 6708, 4, 6428
77, 239.254, 22080, 5, 20695
78, 280.848, 21160, 5, 19844
79, 236.922, 11960, 5, 11196
80, 262.68, 11500, 5, 10557
81, 250.693, 12880, 5, 11663
82, 277.483, 16100, 5, 15383
83, 165.996, 4140, 5, 3857
84, 233.233, 23000, 5, 21594
85, 246.552, 16100, 5, 15304
86, 244.51500000000001, 8280, 5, 8024
87, 237.535, 17480, 5, 16963
88, 267.10200000000003, 16100, 5, 15087
89, 228.988, 7820, 5, 7452
90, 266.237, 25760, 5, 24548
91, 246.075, 11425, 6, 11008
92, 204.822, 13710, 6, 13074
93, 259.637, 12796, 6, 11818
94, 242.77, 16452, 6, 15292
95, 243.521, 8683, 6, 7745
96, 266.762, 18280, 6, 16836
97, 174.758, 5484, 6, 4801
98, 219.78900000000002, 12796, 6, 12052
99, 288.951, 26963, 6, 25614
100, 277.406, 18280, 6, 17143
101, 256.969, 17366, 6, 16606
102, 233.821, 8226, 6, 7729
103, 235.323, 24221, 6, 23520
104, 203.776, 10054, 6, 9523
105, 122.23100000000001, 3370, 7, 2918
106, 193.215, 14491, 7, 13781
107, 191.268, 12132, 7, 11322
108, 174.579, 13143, 7, 12883
109, 183.168, 8425, 7, 7864
110, 194.821, 6403, 7, 5892
111, 197.667, 14154, 7, 13362
112, 208.29600000000002, 17861, 7, 16659
113, 228.22400000000002, 13817, 7, 12844
114, 181.813, 5729, 7, 5371
115, 329.721, 20057, 8, 18770
116, 299.507, 16175, 8, 15467
117, 333.949, 23292, 8, 22758
118, 274.98499999999996, 10352, 8, 9778
119, 336.668, 38820, 8, 37479
120, 295.545, 16175, 8, 15993
121, 278.23900000000003, 23939, 8, 22847
122, 323.70700000000005, 25233, 8, 23901
123, 373.75, 56936, 8, 54885
124, 310.548, 17469, 8, 16596
125, 328.336, 35585, 8, 34693
126, 324.323, 14234, 8, 13599
127, 304.833, 21351, 8, 20879
128, 316.359, 17469, 8, 16823
129, 377.321, 25880, 8, 25216
130, 198.158, 5176, 8, 5024
131, 289.158, 29115, 8, 27760
132, 512.758, 57523, 9, 55625
133, 401.1, 35834, 9, 34560
134, 419.142, 25461, 9, 24677
135, 311.116, 21689, 9, 20683
136, 452.991, 23575, 9, 23210
137, 290.18699999999995, 10373, 9, 9988
138, 209.49499999999998, 3772, 9, 3756
139, 211.124, 3772, 9, 3750
140, 225.97500000000002, 5658, 9, 5627
141, 425.343, 21689, 9, 20934
142, 420.118, 16031, 9, 15722
143, 464.52700000000004, 54694, 9, 52143
144, 447.02799999999996, 34891, 9, 33169
145, 325.43100000000004, 18860, 9, 18248
146, 394.75300000000004, 31119, 9, 29549
147, 405.671, 37720, 9, 36891
148, 334.206, 23575, 9, 22368
149, 434.196, 33948, 9, 32407
150, 393.073, 33005, 9, 31087
151, 391.63100000000003, 22632, 9, 21884
152, 374.135, 20746, 9, 19888
153, 492.185, 46207, 9, 44356
154, 347.76800000000003, 14145, 9, 13762
155, 332.52799999999996, 33005, 9, 32172
156, 430.094, 34891, 9, 34095
157, 454.893, 31119, 9, 30612
158, 442.572, 40549, 9, 39190
159, 301.282, 36777, 9, 35077
160, 452.609, 19803, 9, 18962
161, 443.841, 23575, 9, 22922
162, 406.31, 36777, 9, 35955
163, 358.35699999999997, 14145, 9, 13961
164, 51.8081, 1425, 10, 1374
165, 91.6682, 3705, 10, 3558
166, 75.88340000000001, 3135, 10, 2996
