Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 188.768, 16032, 1, 16018
1, 152.88199999999998, 11356, 1, 11326
2, 221.379, 20040, 1, 19924
3, 182.771, 13360, 1, 13337
4, 272.033, 23380, 1, 23323
5, 319.911, 24716, 1, 24668
6, 187.772, 16032, 1, 16015
7, 216.661, 19372, 1, 19348
8, 149.405, 10020, 1, 10001
9, 259.379, 22044, 1, 21946
10, 179.63000000000002, 16032, 1, 15976
11, 166.045, 14696, 1, 14668
12, 160.04399999999998, 14028, 1, 13995
13, 249.885, 20040, 1, 19965
14, 151.876, 14028, 1, 14005
15, 280.915, 24716, 1, 24618
16, 291.44399999999996, 26720, 1, 26699
17, 264.25, 20040, 1, 20005
18, 378.65, 34068, 1, 33965
19, 218.135, 20040, 1, 20023
20, 112.667, 10020, 1, 9948
21, 311.36, 28724, 1, 28691
22, 174.142, 16191, 2, 16139
23, 155.26000000000002, 11565, 2, 11562
24, 437.28499999999997, 38550, 2, 38489
25, 192.026, 14649, 2, 14621
26, 208.998, 18504, 2, 18446
27, 232.91600000000003, 19275, 2, 19216
28, 280.568, 26985, 2, 26932
29, 368.77700000000004, 33924, 2, 33890
30, 421.538, 42405, 2, 42392
31, 123.519, 12336, 2, 12323
32, 186.364, 14649, 2, 14631
33, 466.138, 43176, 2, 43117
34, 243.597, 19275, 2, 19266
35, 390.731, 36237, 2, 36197
36, 435.41, 41634, 2, 41535
37, 217.964, 17733, 2, 17651
38, 280.813, 27756, 2, 27669
39, 267.415, 23901, 2, 23881
40, 131.369, 10023, 2, 9994
41, 195.67000000000002, 20817, 2, 20782
42, 268.013, 23901, 2, 23869
43, 173.035, 14649, 2, 14638
44, 213.73600000000002, 22359, 2, 22334
45, 152.004, 13925, 3, 13881
46, 180.554, 15039, 3, 14991
47, 117.075, 8355, 3, 8343
48, 202.80100000000002, 18938, 3, 18891
49, 82.9644, 7798, 3, 7782
50, 225.691, 20052, 3, 19992
51, 219.40599999999998, 21723, 3, 21610
52, 285.58299999999997, 25622, 3, 25548
53, 261.892, 21166, 3, 21104
54, 114.473, 10026, 3, 9970
55, 132.825, 11697, 3, 11659
56, 432.593, 39547, 3, 39401
57, 351.646, 30078, 3, 29885
58, 150.107, 12811, 3, 12810
59, 177.864, 16710, 3, 16652
60, 171.211, 15934, 4, 15872
61, 110.686, 7196, 4, 7185
62, 200.295, 14392, 4, 14338
63, 177.201, 16962, 4, 16934
64, 156.695, 15420, 4, 15386
65, 99.63170000000001, 7196, 4, 7190
66, 151.858, 15420, 4, 15359
67, 301.962, 27242, 4, 27208
68, 44.7547, 3084, 4, 3078
69, 75.5883, 3598, 4, 3598
70, 373.221, 35980, 4, 35882
71, 84.73519999999999, 1542, 4, 1539
72, 111.203, 9766, 4, 9759
73, 271.068, 22616, 4, 22581
74, 55.754999999999995, 2056, 4, 2055
75, 297.688, 26728, 4, 26689
76, 62.8596, 5654, 4, 5650
77, 253.581, 21068, 5, 21013
78, 235.526, 20152, 5, 20076
79, 132.84699999999998, 10992, 5, 10953
80, 140.016, 10534, 5, 10471
81, 184.875, 11908, 5, 11825
82, 167.28799999999998, 15114, 5, 15061
83, 43.1639, 3206, 5, 3194
84, 230.05100000000002, 21984, 5, 21836
85, 164.328, 15114, 5, 15076
86, 147.79700000000003, 7328, 5, 7301
87, 180.248, 16488, 5, 16408
88, 178.15200000000002, 15114, 5, 15100
89, 104.396, 6870, 5, 6835
90, 273.19, 24732, 5, 24676
91, 120.598, 10465, 6, 10424
92, 153.863, 12740, 6, 12706
93, 159.59599999999998, 11830, 6, 11810
94, 158.29399999999998, 15470, 6, 15392
95, 107.71600000000001, 7735, 6, 7687
96, 250.63600000000002, 17290, 6, 17131
97, 50.661699999999996, 4550, 6, 4470
98, 135.437, 11830, 6, 11803
99, 282.283, 25935, 6, 25738
100, 227.47, 17290, 6, 17232
101, 190.945, 16380, 6, 16252
102, 75.9087, 7280, 6, 7247
103, 296.137, 23205, 6, 23132
104, 116.87100000000001, 9100, 6, 9060
105, 64.3456, 2680, 7, 2663
106, 143.423, 13735, 7, 13694
107, 147.248, 11390, 7, 11321
108, 118.74600000000001, 12395, 7, 12346
109, 128.707, 7705, 7, 7678
110, 74.72869999999999, 5695, 7, 5645
111, 173.493, 13400, 7, 13360
112, 177.641, 17085, 7, 17049
113, 138.335, 13065, 7, 13048
114, 63.589000000000006, 5025, 7, 4987
115, 211.858, 18705, 8, 18621
116, 198.286, 14835, 8, 14762
117, 217.661, 21930, 8, 21869
118, 113.66999999999999, 9030, 8, 8999
119, 357.118, 37410, 8, 37263
120, 174.421, 14835, 8, 14791
121, 243.02599999999998, 22575, 8, 22469
122, 252.361, 23865, 8, 23759
123, 613.418, 55470, 8, 55356
124, 174.183, 16125, 8, 16064
125, 359.822, 34185, 8, 34128
126, 161.476, 12900, 8, 12805
127, 238.22, 19995, 8, 19983
128, 212.436, 16125, 8, 16117
129, 287.784, 24510, 8, 24430
130, 54.6722, 3870, 8, 3847
131, 338.706, 27735, 8, 27658
132, 597.601, 55519, 9, 55334
133, 371.258, 33876, 9, 33770
134, 277.079, 23525, 9, 23467
135, 251.63600000000002, 19761, 9, 19722
136, 234.3, 21643, 9, 21627
137, 118.46900000000001, 8469, 9, 8456
138, 62.1231, 1882, 9, 1875
139, 50.367599999999996, 1882, 9, 1872
140, 91.6975, 3764, 9, 3740
141, 204.486, 19761, 9, 19643
142, 159.373, 14115, 9, 14102
143, 597.826, 52696, 9, 52551
144, 395.00800000000004, 32935, 9, 32902
145, 224.291, 16938, 9, 16936
146, 347.045, 29171, 9, 29041
147, 384.99, 35758, 9, 35735
148, 225.373, 21643, 9, 21352
149, 321.261, 31994, 9, 31744
150, 389.14500000000004, 31053, 9, 30900
151, 223.353, 20702, 9, 20627
152, 212.062, 18820, 9, 18612
153, 480.268, 44227, 9, 44123
154, 121.834, 12233, 9, 12224
155, 303.902, 31053, 9, 30908
156, 336.902, 32935, 9, 32870
157, 288.401, 29171, 9, 29150
158, 416.45799999999997, 38581, 9, 38558
159, 376.954, 34817, 9, 34735
160, 219.879, 17879, 9, 17835
161, 236.89, 21643, 9, 21591
162, 369.80600000000004, 34817, 9, 34768
163, 158.75400000000002, 12233, 9, 12205
164, 18.461000000000002, 1209, 10, 1205
165, 61.9717, 3441, 10, 3356
166, 58.9407, 2883, 10, 2829
