Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 75.9391, 16032, 1, 16018
1, 40.482499999999995, 11356, 1, 11326
2, 73.836, 20040, 1, 19924
3, 91.08239999999999, 13360, 1, 13337
4, 96.0834, 23380, 1, 23323
5, 129.519, 24716, 1, 24668
6, 83.0302, 16032, 1, 16015
7, 91.85119999999999, 19372, 1, 19348
8, 58.1848, 10020, 1, 10001
9, 97.8588, 22044, 1, 21946
10, 83.9989, 16032, 1, 15976
11, 81.74249999999999, 14696, 1, 14668
12, 70.4446, 14028, 1, 13995
13, 85.8824, 20040, 1, 19965
14, 68.7614, 14028, 1, 14005
15, 91.6385, 24716, 1, 24618
16, 132.335, 26720, 1, 26699
17, 106.294, 20040, 1, 20005
18, 149.753, 34068, 1, 33965
19, 123.42500000000001, 20040, 1, 20023
20, 52.2298, 10020, 1, 9948
21, 135.767, 28724, 1, 28691
22, 59.447, 16191, 2, 16139
23, 79.723, 11565, 2, 11562
24, 171.019, 38550, 2, 38489
25, 59.4102, 14649, 2, 14621
26, 72.7754, 18504, 2, 18446
27, 70.3168, 19275, 2, 19216
28, 117.41, 26985, 2, 26932
29, 164.35, 33924, 2, 33890
30, 182.622, 42405, 2, 42392
31, 51.2376, 12336, 2, 12323
32, 90.2574, 14649, 2, 14631
33, 194.345, 43176, 2, 43117
34, 116.64399999999999, 19275, 2, 19266
35, 156.645, 36237, 2, 36197
36, 197.39399999999998, 41634, 2, 41535
37, 72.3532, 17733, 2, 17651
38, 138.77999999999997, 27756, 2, 27669
39, 96.13589999999999, 23901, 2, 23881
40, 69.98859999999999, 10023, 2, 9994
41, 92.64500000000001, 20817, 2, 20782
42, 105.253, 23901, 2, 23869
43, 85.27600000000001, 14649, 2, 14638
44, 109.656, 22359, 2, 22334
45, 93.9263, 13925, 3, 13881
46, 56.305800000000005, 15039, 3, 14991
47, 47.6823, 8355, 3, 8343
48, 107.642, 18938, 3, 18891
49, 32.1969, 7798, 3, 7782
50, 91.2116, 20052, 3, 19992
51, 124.678, 21723, 3, 21610
52, 128.90699999999998, 25622, 3, 25548
53, 81.78240000000001, 21166, 3, 21104
54, 107.668, 10026, 3, 9970
55, 72.8447, 11697, 3, 11659
56, 161.629, 39547, 3, 39401
57, 146.145, 30078, 3, 29885
58, 52.3883, 12811, 3, 12810
59, 102.768, 16710, 3, 16652
60, 109.861, 15934, 4, 15872
61, 29.4572, 7196, 4, 7185
62, 120.129, 14392, 4, 14338
63, 99.8239, 16962, 4, 16934
64, 98.3057, 15420, 4, 15386
65, 35.7451, 7196, 4, 7190
66, 58.8966, 15420, 4, 15359
67, 135.73499999999999, 27242, 4, 27208
68, 14.536999999999999, 3084, 4, 3078
69, 37.0186, 3598, 4, 3598
70, 133.00500000000002, 35980, 4, 35882
71, 16.1584, 1542, 4, 1539
72, 82.0073, 9766, 4, 9759
73, 123.58, 22616, 4, 22581
74, 17.1374, 2056, 4, 2055
75, 107.556, 26728, 4, 26689
76, 24.784, 5654, 4, 5650
77, 107.935, 21068, 5, 21013
78, 144.961, 20152, 5, 20076
79, 42.280499999999996, 10992, 5, 10953
80, 88.1846, 10534, 5, 10471
81, 70.85900000000001, 11908, 5, 11825
82, 72.9603, 15114, 5, 15061
83, 28.355999999999998, 3206, 5, 3194
84, 102.892, 21984, 5, 21836
85, 63.7981, 15114, 5, 15076
86, 57.4207, 7328, 5, 7301
87, 95.92190000000001, 16488, 5, 16408
88, 95.6487, 15114, 5, 15100
89, 49.2996, 6870, 5, 6835
90, 138.423, 24732, 5, 24676
91, 51.9924, 10465, 6, 10424
92, 93.5222, 12740, 6, 12706
93, 62.2333, 11830, 6, 11810
94, 93.6139, 15470, 6, 15392
95, 34.6417, 7735, 6, 7687
96, 105.83800000000001, 17290, 6, 17131
97, 16.7262, 4550, 6, 4470
98, 69.77940000000001, 11830, 6, 11803
99, 110.639, 25935, 6, 25738
100, 74.8729, 17290, 6, 17232
101, 104.931, 16380, 6, 16252
102, 62.4202, 7280, 6, 7247
103, 119.70899999999999, 23205, 6, 23132
104, 36.378800000000005, 9100, 6, 9060
105, 26.6182, 2680, 7, 2663
106, 97.9484, 13735, 7, 13694
107, 72.8049, 11390, 7, 11321
