Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 290.366, 16032, 1, 16018
1, 186.658, 11356, 1, 11326
2, 330.789, 20040, 1, 19924
3, 238.10899999999998, 13360, 1, 13337
4, 391.98499999999996, 23380, 1, 23323
5, 454.617, 24716, 1, 24668
6, 299.08099999999996, 16032, 1, 16015
7, 317.973, 19372, 1, 19348
8, 182.606, 10020, 1, 10001
9, 398.951, 22044, 1, 21946
10, 266.158, 16032, 1, 15976
11, 267.483, 14696, 1, 14668
12, 244.09900000000002, 14028, 1, 13995
13, 381.741, 20040, 1, 19965
14, 242.914, 14028, 1, 14005
15, 421.617, 24716, 1, 24618
16, 444.97900000000004, 26720, 1, 26699
17, 369.497, 20040, 1, 20005
18, 592.639, 34068, 1, 33965
19, 359.828, 20040, 1, 20023
20, 177.91199999999998, 10020, 1, 9948
21, 499.57099999999997, 28724, 1, 28691
22, 272.804, 16191, 2, 16139
23, 210.99599999999998, 11565, 2, 11562
24, 663.7239999999999, 38550, 2, 38489
25, 265.92, 14649, 2, 14621
26, 317.052, 18504, 2, 18446
27, 322.745, 19275, 2, 19216
28, 450.93100000000004, 26985, 2, 26932
29, 605.538, 33924, 2, 33890
30, 663.556, 42405, 2, 42392
31, 215.788, 12336, 2, 12323
32, 268.383, 14649, 2, 14631
33, 730.742, 43176, 2, 43117
34, 332.307, 19275, 2, 19266
35, 583.403, 36237, 2, 36197
36, 684.473, 41634, 2, 41535
37, 350.797, 17733, 2, 17651
38, 465.76800000000003, 27756, 2, 27669
39, 418.582, 23901, 2, 23881
40, 190.744, 10023, 2, 9994
41, 325.243, 20817, 2, 20782
42, 408.62, 23901, 2, 23869
43, 282.252, 14649, 2, 14638
44, 347.24, 22359, 2, 22334
45, 236.00799999999998, 13925, 3, 13881
46, 250.969, 15039, 3, 14991
47, 175.233, 8355, 3, 8343
48, 350.599, 18938, 3, 18891
49, 198.364, 7798, 3, 7782
50, 355.655, 20052, 3, 19992
51, 397.159, 21723, 3, 21610
52, 437.653, 25622, 3, 25548
53, 378.301, 21166, 3, 21104
54, 177.65900000000002, 10026, 3, 9970
55, 218.645, 11697, 3, 11659
56, 682.289, 39547, 3, 39401
57, 507.17, 30078, 3, 29885
58, 205.65900000000002, 12811, 3, 12810
59, 295.137, 16710, 3, 16652
60, 299.89500000000004, 15934, 4, 15872
61, 145.098, 7196, 4, 7185
62, 295.38399999999996, 14392, 4, 14338
63, 307.771, 16962, 4, 16934
64, 260.349, 15420, 4, 15386
65, 124.623, 7196, 4, 7190
66, 242.427, 15420, 4, 15359
67, 445.08500000000004, 27242, 4, 27208
68, 62.0626, 3084, 4, 3078
69, 74.53609999999999, 3598, 4, 3598
70, 632.983, 35980, 4, 35882
71, 61.353699999999996, 1542, 4, 1539
72, 216.56300000000002, 9766, 4, 9759
73, 422.359, 22616, 4, 22581
74, 59.0636, 2056, 4, 2055
75, 457.732, 26728, 4, 26689
76, 93.5039, 5654, 4, 5650
77, 390.495, 21068, 5, 21013
78, 385.955, 20152, 5, 20076
79, 219.473, 10992, 5, 10953
80, 192.522, 10534, 5, 10471
81, 231.319, 11908, 5, 11825
82, 281.733, 15114, 5, 15061
83, 64.3751, 3206, 5, 3194
84, 364.448, 21984, 5, 21836
85, 269.924, 15114, 5, 15076
86, 139.93, 7328, 5, 7301
87, 279.275, 16488, 5, 16408
88, 296.462, 15114, 5, 15100
89, 161.479, 6870, 5, 6835
90, 458.796, 24732, 5, 24676
91, 184.918, 10465, 6, 10424
92, 246.49599999999998, 12740, 6, 12706
93, 214.15200000000002, 11830, 6, 11810
94, 267.57, 15470, 6, 15392
95, 165.319, 7735, 6, 7687
96, 283.56199999999995, 17290, 6, 17131
97, 84.32549999999999, 4550, 6, 4470
98, 202.46900000000002, 11830, 6, 11803
99, 439.24600000000004, 25935, 6, 25738
100, 352.39, 17290, 6, 17232
101, 284.192, 16380, 6, 16252
102, 151.93699999999998, 7280, 6, 7247
103, 397.063, 23205, 6, 23132
104, 172.72799999999998, 9100, 6, 9060
105, 58.2717, 2680, 7, 2663
106, 249.295, 13735, 7, 13694
107, 227.397, 11390, 7, 11321
108, 212.13000000000002, 12395, 7, 12346
109, 167.652, 7705, 7, 7678
110, 99.18780000000001, 5695, 7, 5645
111, 247.258, 13400, 7, 13360
112, 340.67199999999997, 17085, 7, 17049
113, 243.66, 13065, 7, 13048
114, 89.5714, 5025, 7, 4987
115, 318.903, 18705, 8, 18621
116, 256.984, 14835, 8, 14762
117, 352.531, 21930, 8, 21869
118, 163.75400000000002, 9030, 8, 8999
119, 618.639, 37410, 8, 37263
120, 242.508, 14835, 8, 14791
121, 399.183, 22575, 8, 22469
122, 388.94, 23865, 8, 23759
123, 931.702, 55470, 8, 55356
124, 318.575, 16125, 8, 16064
125, 573.735, 34185, 8, 34128
126, 233.845, 12900, 8, 12805
127, 339.468, 19995, 8, 19983
128, 281.961, 16125, 8, 16117
129, 413.23900000000003, 24510, 8, 24430
130, 71.37100000000001, 3870, 8, 3847
131, 496.38, 27735, 8, 27658
132, 866.322, 55519, 9, 55334
133, 589.622, 33876, 9, 33770
134, 401.22200000000004, 23525, 9, 23467
135, 342.142, 19761, 9, 19722
136, 353.30699999999996, 21643, 9, 21627
137, 159.309, 8469, 9, 8456
138, 39.9467, 1882, 9, 1875
139, 42.2456, 1882, 9, 1872
140, 73.3775, 3764, 9, 3740
141, 328.433, 19761, 9, 19643
142, 233.03099999999998, 14115, 9, 14102
143, 886.497, 52696, 9, 52551
144, 574.9689999999999, 32935, 9, 32902
145, 290.808, 16938, 9, 16936
146, 505.837, 29171, 9, 29041
147, 582.899, 35758, 9, 35735
148, 359.597, 21643, 9, 21352
149, 513.598, 31994, 9, 31744
150, 549.068, 31053, 9, 30900
151, 342.25600000000003, 20702, 9, 20627
152, 314.394, 18820, 9, 18612
153, 726.227, 44227, 9, 44123
