Paragraph, AlgoTime(ms), Result Matrix, Chapter
0, 178.205, 16032, 1
1, 103.262, 11356, 1
2, 189.46699999999998, 20040, 1
3, 149.041, 13360, 1
4, 231.859, 23380, 1
5, 278.892, 24716, 1
6, 179.869, 16032, 1
7, 184.48600000000002, 19372, 1
8, 111.363, 10020, 1
9, 250.383, 22044, 1
10, 165.797, 16032, 1
11, 144.956, 14696, 1
12, 154.28300000000002, 14028, 1
13, 228.252, 20040, 1
14, 141.71200000000002, 14028, 1
15, 240.428, 24716, 1
16, 289.60999999999996, 26720, 1
17, 222.408, 20040, 1
18, 323.25399999999996, 34068, 1
19, 194.51399999999998, 20040, 1
20, 98.1414, 10020, 1
21, 279.75100000000003, 28724, 1
22, 141.891, 16191, 2
23, 132.131, 11565, 2
24, 392.04699999999997, 38550, 2
25, 140.861, 14649, 2
26, 182.592, 18504, 2
27, 187.858, 19275, 2
28, 244.91299999999998, 26985, 2
29, 360.429, 33924, 2
30, 366.651, 42405, 2
31, 129.465, 12336, 2
32, 141.78199999999998, 14649, 2
33, 409.913, 43176, 2
34, 215.757, 19275, 2
35, 351.98400000000004, 36237, 2
36, 397.886, 41634, 2
37, 191.19, 17733, 2
38, 269.06, 27756, 2
39, 260.775, 23901, 2
40, 128.309, 10023, 2
41, 179.072, 20817, 2
42, 233.25199999999998, 23901, 2
43, 156.31400000000002, 14649, 2
44, 218.18599999999998, 22359, 2
45, 132.623, 13925, 3
46, 142.599, 15039, 3
47, 91.1467, 8355, 3
48, 176.761, 18938, 3
49, 72.8313, 7798, 3
50, 214.93599999999998, 20052, 3
51, 217.802, 21723, 3
52, 258.85200000000003, 25622, 3
53, 189.675, 21166, 3
54, 101.62599999999999, 10026, 3
55, 126.82199999999999, 11697, 3
56, 371.535, 39547, 3
57, 294.438, 30078, 3
58, 115.917, 12811, 3
59, 158.113, 16710, 3
60, 149.421, 15934, 4
61, 105.17500000000001, 7196, 4
62, 196.959, 14392, 4
63, 162.052, 16962, 4
64, 140.858, 15420, 4
65, 81.6186, 7196, 4
66, 140.91799999999998, 15420, 4
67, 240.348, 27242, 4
68, 58.812999999999995, 3084, 4
69, 47.6622, 3598, 4
70, 336.738, 35980, 4
71, 21.337, 1542, 4
72, 103.487, 9766, 4
73, 259.17600000000004, 22616, 4
74, 54.3545, 2056, 4
75, 249.721, 26728, 4
76, 53.2323, 5654, 4
77, 204.215, 21068, 5
78, 214.51799999999997, 20152, 5
79, 163.813, 10992, 5
80, 155.087, 10534, 5
81, 118.0, 11908, 5
82, 155.667, 15114, 5
83, 92.7648, 3206, 5
84, 193.549, 21984, 5
85, 140.349, 15114, 5
86, 112.971, 7328, 5
87, 172.624, 16488, 5
88, 170.846, 15114, 5
89, 71.5107, 6870, 5
90, 256.73600000000005, 24732, 5
91, 99.4799, 10465, 6
92, 128.454, 12740, 6
93, 112.056, 11830, 6
94, 137.22400000000002, 15470, 6
95, 105.46, 7735, 6
96, 158.48000000000002, 17290, 6
97, 71.265, 4550, 6
98, 119.408, 11830, 6
99, 251.03599999999997, 25935, 6
100, 179.121, 17290, 6
101, 169.393, 16380, 6
102, 105.573, 7280, 6
103, 248.836, 23205, 6
104, 95.2495, 9100, 6
105, 65.9546, 2680, 7
106, 174.035, 13735, 7
107, 112.19500000000001, 11390, 7
108, 109.098, 12395, 7
109, 73.66839999999999, 7705, 7
110, 88.4477, 5695, 7
111, 135.26399999999998, 13400, 7
112, 180.763, 17085, 7
113, 131.57399999999998, 13065, 7
114, 54.093, 5025, 7
115, 195.356, 18705, 8
116, 142.524, 14835, 8
117, 200.647, 21930, 8
118, 97.734, 9030, 8
119, 334.736, 37410, 8
120, 145.433, 14835, 8
121, 230.62, 22575, 8
122, 229.659, 23865, 8
123, 529.598, 55470, 8
124, 216.355, 16125, 8
125, 335.221, 34185, 8
126, 135.80700000000002, 12900, 8
127, 189.933, 19995, 8
128, 178.52, 16125, 8
129, 250.778, 24510, 8
130, 46.013, 3870, 8
131, 290.751, 27735, 8
132, 478.014, 55519, 9
133, 323.822, 33876, 9
134, 238.424, 23525, 9
135, 207.65, 19761, 9
136, 197.19, 21643, 9
137, 103.332, 8469, 9
138, 26.739900000000002, 1882, 9
139, 35.310300000000005, 1882, 9
140, 45.3193, 3764, 9
141, 195.70100000000002, 19761, 9
142, 123.848, 14115, 9
143, 503.61999999999995, 52696, 9
144, 341.862, 32935, 9
145, 167.47400000000002, 16938, 9
146, 281.413, 29171, 9
147, 325.519, 35758, 9
148, 198.433, 21643, 9
149, 282.254, 31994, 9
150, 342.391, 31053, 9
151, 245.67, 20702, 9
152, 177.665, 18820, 9
153, 407.72, 44227, 9
154, 109.001, 12233, 9
155, 280.823, 31053, 9
156, 308.262, 32935, 9
157, 254.84699999999998, 29171, 9
158, 383.396, 38581, 9
159, 348.01300000000003, 34817, 9
160, 184.931, 17879, 9
161, 219.902, 21643, 9
162, 320.896, 34817, 9
163, 115.637, 12233, 9
164, 23.028799999999997, 1209, 10
165, 40.811600000000006, 3441, 10
166, 49.6539, 2883, 10
