Paragraph, AlgoTime(ms), Result Matrix, Chapter
0, 3019.65, 16032, 1
1, 5543.55, 11356, 1
2, 3042.59, 20040, 1
3, 3082.03, 13360, 1
4, 2965.38, 23380, 1
5, 2957.8700000000003, 24716, 1
6, 3001.4500000000003, 16032, 1
7, 2975.0899999999997, 19372, 1
8, 4700.88, 10020, 1
9, 3029.15, 22044, 1
10, 2946.08, 16032, 1
11, 2927.93, 14696, 1
12, 2972.6, 14028, 1
13, 2962.46, 20040, 1
14, 2929.83, 14028, 1
15, 2985.37, 24716, 1
16, 2977.1200000000003, 26720, 1
17, 2997.1299999999997, 20040, 1
18, 2939.45, 34068, 1
19, 2968.25, 20040, 1
20, 4736.12, 10020, 1
21, 2947.4, 28724, 1
22, 3266.01, 16191, 2
23, 5335.849999999999, 11565, 2
24, 3337.7599999999998, 38550, 2
25, 5766.56, 14649, 2
26, 3365.77, 18504, 2
27, 3314.7400000000002, 19275, 2
28, 3271.86, 26985, 2
29, 3286.2599999999998, 33924, 2
30, 3291.28, 42405, 2
31, 5188.32, 12336, 2
32, 5764.719999999999, 14649, 2
33, 3366.26, 43176, 2
34, 3254.01, 19275, 2
35, 3285.5, 36237, 2
36, 3267.67, 41634, 2
37, 3343.6499999999996, 17733, 2
38, 3200.5499999999997, 27756, 2
39, 3311.47, 23901, 2
40, 5429.1, 10023, 2
41, 3295.57, 20817, 2
42, 3330.34, 23901, 2
43, 5776.16, 14649, 2
44, 3295.76, 22359, 2
45, 2508.79, 13925, 3
46, 2797.65, 15039, 3
47, 4175.5599999999995, 8355, 3
48, 2588.69, 18938, 3
49, 4248.84, 7798, 3
50, 2493.5, 20052, 3
51, 2451.91, 21723, 3
52, 2548.87, 25622, 3
53, 2602.08, 21166, 3
54, 5698.57, 10026, 3
55, 2558.25, 11697, 3
56, 2646.63, 39547, 3
57, 2468.28, 30078, 3
58, 2443.25, 12811, 3
59, 2505.7200000000003, 16710, 3
60, 2310.98, 15934, 4
61, 3737.8399999999997, 7196, 4
62, 2558.46, 14392, 4
63, 2486.42, 16962, 4
64, 2424.3199999999997, 15420, 4
65, 3993.5499999999997, 7196, 4
66, 2542.3399999999997, 15420, 4
67, 2477.04, 27242, 4
68, 2868.0, 3084, 4
69, 2890.26, 3598, 4
70, 2225.2200000000003, 35980, 4
71, 2604.04, 1542, 4
72, 3912.13, 9766, 4
73, 2309.8, 22616, 4
74, 2665.23, 2056, 4
75, 2249.7400000000002, 26728, 4
76, 3220.54, 5654, 4
77, 2133.83, 21068, 5
78, 2134.5, 20152, 5
79, 2108.53, 10992, 5
80, 2139.94, 10534, 5
81, 2102.58, 11908, 5
82, 2117.36, 15114, 5
83, 2746.36, 3206, 5
84, 2132.38, 21984, 5
85, 2200.4, 15114, 5
86, 3508.96, 7328, 5
87, 2124.72, 16488, 5
88, 2058.54, 15114, 5
89, 3442.53, 6870, 5
90, 2039.53, 24732, 5
91, 2178.1600000000003, 10465, 6
92, 2177.61, 12740, 6
93, 2162.8599999999997, 11830, 6
94, 2157.27, 15470, 6
95, 3707.63, 7735, 6
96, 2137.12, 17290, 6
97, 2965.36, 4550, 6
98, 2065.35, 11830, 6
99, 2026.04, 25935, 6
100, 2166.95, 17290, 6
101, 2092.25, 16380, 6
102, 3548.88, 7280, 6
103, 2294.02, 23205, 6
104, 2277.8999999999996, 9100, 6
105, 2132.01, 2680, 7
106, 1647.5, 13735, 7
107, 1553.08, 11390, 7
108, 1623.6699999999998, 12395, 7
109, 1596.94, 7705, 7
110, 2543.18, 5695, 7
111, 1572.3, 13400, 7
112, 1620.8700000000001, 17085, 7
113, 1638.47, 13065, 7
114, 2369.85, 5025, 7
115, 2824.05, 18705, 8
116, 2813.1499999999996, 14835, 8
117, 2755.5499999999997, 21930, 8
118, 4375.63, 9030, 8
119, 2875.72, 37410, 8
120, 2831.57, 14835, 8
121, 3029.3, 22575, 8
122, 2856.15, 23865, 8
123, 2787.36, 55470, 8
124, 2734.82, 16125, 8
125, 2767.7200000000003, 34185, 8
126, 2762.79, 12900, 8
127, 2676.2999999999997, 19995, 8
128, 2701.8300000000004, 16125, 8
129, 2759.17, 24510, 8
130, 3475.4, 3870, 8
131, 2686.36, 27735, 8
132, 4059.3399999999997, 55519, 9
133, 4068.7499999999995, 33876, 9
134, 3896.0499999999997, 23525, 9
135, 3866.1400000000003, 19761, 9
136, 3878.18, 21643, 9
137, 5506.54, 8469, 9
138, 4335.04, 1882, 9
139, 4287.51, 1882, 9
140, 4365.509999999999, 3764, 9
141, 3902.9500000000003, 19761, 9
142, 6201.8, 14115, 9
143, 3890.73, 52696, 9
144, 3901.29, 32935, 9
145, 6596.2699999999995, 16938, 9
146, 3893.7599999999998, 29171, 9
147, 3818.88, 35758, 9
148, 3833.75, 21643, 9
149, 3966.58, 31994, 9
150, 3831.18, 31053, 9
151, 3851.56, 20702, 9
152, 3811.5899999999997, 18820, 9
153, 3869.46, 44227, 9
154, 6094.03, 12233, 9
155, 3810.09, 31053, 9
156, 3852.6099999999997, 32935, 9
157, 3820.0699999999997, 29171, 9
158, 3865.1499999999996, 38581, 9
159, 3830.1400000000003, 34817, 9
160, 6785.33, 17879, 9
161, 3812.96, 21643, 9
162, 3848.7599999999998, 34817, 9
163, 6142.95, 12233, 9
164, 823.251, 1209, 10
165, 533.891, 3441, 10
166, 555.2139999999999, 2883, 10
