Paragraph, AlgoTime(ms), Result Matrix, Chapter
0, 241.522, 14652, 1
1, 145.315, 9990, 1
2, 293.45, 18648, 1
3, 219.612, 11988, 1
4, 356.404, 21978, 1
5, 421.632, 23310, 1
6, 244.504, 14652, 1
7, 242.86599999999999, 17982, 1
8, 157.942, 8658, 1
9, 360.665, 20646, 1
10, 247.21599999999998, 14652, 1
11, 209.4, 13320, 1
12, 205.067, 12654, 1
13, 335.509, 18648, 1
14, 213.24699999999999, 12654, 1
15, 333.869, 23310, 1
16, 384.95099999999996, 25308, 1
17, 323.485, 18648, 1
18, 492.922, 32634, 1
19, 294.049, 18648, 1
20, 144.71200000000002, 8658, 1
21, 404.758, 27306, 1
22, 202.375, 14611, 2
23, 181.74699999999999, 9997, 2
24, 627.567, 36912, 2
25, 214.06300000000002, 13073, 2
26, 286.194, 16918, 2
27, 261.064, 17687, 2
28, 367.14799999999997, 25377, 2
29, 536.006, 32298, 2
30, 552.3280000000001, 40757, 2
31, 139.152, 10766, 2
32, 194.556, 13073, 2
33, 608.915, 41526, 2
34, 282.94, 17687, 2
35, 509.37, 34605, 2
36, 604.3309999999999, 39988, 2
37, 268.735, 16149, 2
38, 382.42900000000003, 26146, 2
39, 363.322, 22301, 2
40, 158.586, 8459, 2
41, 284.413, 19225, 2
42, 389.231, 22301, 2
43, 254.92100000000002, 13073, 2
44, 297.33700000000005, 20763, 2
45, 204.71, 12765, 3
46, 206.452, 13875, 3
47, 134.499, 7215, 3
48, 265.23999999999995, 17760, 3
49, 98.0343, 6660, 3
50, 306.88599999999997, 18870, 3
51, 329.519, 20535, 3
52, 389.656, 24420, 3
53, 285.93800000000005, 19980, 3
54, 194.614, 8880, 3
55, 187.17000000000002, 10545, 3
56, 623.332, 38295, 3
57, 525.916, 28860, 3
58, 169.36100000000002, 11655, 3
59, 255.797, 15540, 3
60, 223.489, 14848, 4
61, 145.655, 6144, 4
62, 266.644, 13312, 4
63, 246.32000000000002, 15872, 4
64, 238.985, 14336, 4
65, 139.736, 6144, 4
66, 200.952, 14336, 4
67, 370.269, 26112, 4
68, 45.8331, 2048, 4
69, 69.3308, 2560, 4
70, 521.794, 34816, 4
71, 16.1781, 512, 4
72, 150.25, 8704, 4
73, 412.011, 21504, 4
74, 47.741, 1024, 4
75, 404.459, 25600, 4
76, 88.5603, 4608, 4
77, 335.826, 20064, 5
78, 307.458, 19152, 5
79, 198.375, 10032, 5
80, 171.049, 9576, 5
81, 176.44000000000003, 10944, 5
82, 274.40500000000003, 14136, 5
83, 43.321600000000004, 2280, 5
84, 336.434, 20976, 5
85, 206.71, 14136, 5
86, 103.76100000000001, 6384, 5
87, 209.364, 15504, 5
88, 248.714, 14136, 5
89, 124.825, 5928, 5
90, 411.36400000000003, 23712, 5
91, 158.167, 9513, 6
92, 205.08599999999998, 11778, 6
93, 184.758, 10872, 6
94, 212.24699999999999, 14496, 6
95, 125.089, 6795, 6
96, 291.74899999999997, 16308, 6
97, 71.1076, 3624, 6
98, 199.747, 10872, 6
99, 403.9, 24915, 6
100, 309.94899999999996, 16308, 6
101, 288.771, 15402, 6
102, 111.39, 6342, 6
103, 388.187, 22197, 6
104, 138.904, 8154, 6
105, 35.7868, 1998, 7
106, 256.719, 12987, 7
107, 167.352, 10656, 7
108, 174.029, 11655, 7
109, 156.679, 6993, 7
110, 91.3251, 4995, 7
111, 195.992, 12654, 7
112, 267.78499999999997, 16317, 7
113, 244.006, 12321, 7
114, 59.808, 4329, 7
115, 323.286, 17361, 8
116, 209.744, 13503, 8
117, 306.663, 20576, 8
118, 144.802, 7716, 8
119, 521.726, 36008, 8
120, 200.5, 13503, 8
121, 344.429, 21219, 8
122, 358.878, 22505, 8
123, 870.1370000000001, 54012, 8
124, 303.988, 14789, 8
125, 501.938, 32793, 8
126, 217.34300000000002, 11574, 8
127, 289.273, 18647, 8
128, 251.369, 14789, 8
129, 378.532, 23148, 8
130, 67.5084, 2572, 8
131, 472.814, 26363, 8
132, 753.578, 53523, 9
133, 494.24600000000004, 31926, 9
134, 360.60900000000004, 21597, 9
135, 305.491, 17841, 9
136, 307.7, 19719, 9
137, 141.696, 6573, 9
138, 10.335799999999999, 0, 9
139, 10.1382, 0, 9
140, 45.0373, 1878, 9
141, 277.442, 17841, 9
142, 188.143, 12207, 9
143, 785.932, 50706, 9
144, 533.363, 30987, 9
145, 243.43699999999998, 15024, 9
146, 449.969, 27231, 9
147, 488.36400000000003, 33804, 9
148, 278.765, 19719, 9
149, 459.552, 30048, 9
150, 537.275, 29109, 9
151, 282.441, 18780, 9
152, 254.112, 16902, 9
153, 641.481, 42255, 9
154, 142.38899999999998, 10329, 9
155, 403.774, 29109, 9
156, 409.767, 30987, 9
157, 365.488, 27231, 9
158, 559.3249999999999, 36621, 9
159, 549.909, 32865, 9
160, 292.836, 15963, 9
161, 332.23900000000003, 19719, 9
162, 467.262, 32865, 9
163, 149.102, 10329, 9
164, 23.8208, 1001, 10
165, 85.3926, 3185, 10
166, 57.9629, 2639, 10
