Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 244.394, 14652, 1, 14640
1, 149.899, 9990, 1, 9965
2, 295.78900000000004, 18648, 1, 18526
3, 218.04999999999998, 11988, 1, 11945
4, 356.635, 21978, 1, 21918
5, 420.212, 23310, 1, 23231
6, 248.346, 14652, 1, 14643
7, 240.02599999999998, 17982, 1, 17957
8, 157.609, 8658, 1, 8632
9, 366.90099999999995, 20646, 1, 20507
10, 241.705, 14652, 1, 14596
11, 210.214, 13320, 1, 13279
12, 201.898, 12654, 1, 12610
13, 333.719, 18648, 1, 18532
14, 209.4, 12654, 1, 12628
15, 331.493, 23310, 1, 23238
16, 388.341, 25308, 1, 25270
17, 321.478, 18648, 1, 18633
18, 509.477, 32634, 1, 32485
19, 292.21200000000005, 18648, 1, 18630
20, 153.82299999999998, 8658, 1, 8591
21, 406.798, 27306, 1, 27289
22, 218.331, 14611, 2, 14547
23, 181.634, 9997, 2, 9987
24, 628.6389999999999, 36912, 2, 36852
25, 214.82999999999998, 13073, 2, 13025
26, 282.129, 16918, 2, 16835
27, 262.04499999999996, 17687, 2, 17608
28, 367.099, 25377, 2, 25307
29, 533.1590000000001, 32298, 2, 32271
30, 565.77, 40757, 2, 40754
31, 135.667, 10766, 2, 10746
32, 193.32399999999998, 13073, 2, 13065
33, 615.4490000000001, 41526, 2, 41435
34, 281.043, 17687, 2, 17683
35, 514.178, 34605, 2, 34575
36, 606.712, 39988, 2, 39883
37, 269.71099999999996, 16149, 2, 16045
38, 394.97900000000004, 26146, 2, 26023
39, 372.759, 22301, 2, 22269
40, 153.517, 8459, 2, 8427
41, 255.687, 19225, 2, 19171
42, 350.671, 22301, 2, 22261
43, 234.00099999999998, 13073, 2, 13051
44, 267.659, 20763, 2, 20718
45, 195.467, 12765, 3, 12680
46, 205.627, 13875, 3, 13824
47, 146.03, 7215, 3, 7214
48, 268.837, 17760, 3, 17690
49, 106.934, 6660, 3, 6647
50, 309.358, 18870, 3, 18794
51, 321.29999999999995, 20535, 3, 20405
52, 390.901, 24420, 3, 24319
53, 280.132, 19980, 3, 19897
54, 145.956, 8880, 3, 8794
55, 164.16400000000002, 10545, 3, 10480
56, 568.564, 38295, 3, 38149
57, 471.056, 28860, 3, 28647
58, 173.174, 11655, 3, 11655
59, 241.25199999999998, 15540, 3, 15461
60, 223.98000000000002, 14848, 4, 14744
61, 114.398, 6144, 4, 6143
62, 247.072, 13312, 4, 13234
63, 239.61499999999998, 15872, 4, 15849
64, 205.09199999999998, 14336, 4, 14301
65, 105.03899999999999, 6144, 4, 6144
66, 202.61, 14336, 4, 14247
67, 369.983, 26112, 4, 26088
68, 44.0749, 2048, 4, 2045
69, 59.559, 2560, 4, 2560
70, 523.722, 34816, 4, 34687
71, 16.615000000000002, 512, 4, 510
72, 162.738, 8704, 4, 8702
73, 357.26599999999996, 21504, 4, 21460
74, 26.783, 1024, 4, 1024
75, 381.20300000000003, 25600, 4, 25541
76, 64.84230000000001, 4608, 4, 4605
77, 335.73900000000003, 20064, 5, 19992
78, 287.90900000000005, 19152, 5, 19032
79, 181.235, 10032, 5, 9985
80, 174.329, 9576, 5, 9525
81, 188.776, 10944, 5, 10849
82, 244.119, 14136, 5, 14071
83, 49.3898, 2280, 5, 2276
84, 300.94100000000003, 20976, 5, 20741
85, 211.482, 14136, 5, 14073
86, 103.26, 6384, 5, 6362
87, 217.89700000000002, 15504, 5, 15407
88, 211.77, 14136, 5, 14128
89, 101.997, 5928, 5, 5879
90, 402.79900000000004, 23712, 5, 23660
91, 134.049, 9513, 6, 9440
92, 198.652, 11778, 6, 11742
93, 168.254, 10872, 6, 10862
94, 225.67499999999998, 14496, 6, 14415
95, 124.741, 6795, 6, 6739
96, 252.74099999999999, 16308, 6, 16094
97, 78.477, 3624, 6, 3495
98, 181.457, 10872, 6, 10825
99, 396.221, 24915, 6, 24594
100, 291.12399999999997, 16308, 6, 16235
101, 252.851, 15402, 6, 15197
102, 102.95700000000001, 6342, 6, 6293
103, 355.717, 22197, 6, 22108
104, 139.453, 8154, 6, 8113
105, 39.995999999999995, 1998, 7, 1989
106, 221.114, 12987, 7, 12937
107, 185.04000000000002, 10656, 7, 10570
108, 176.259, 11655, 7, 11570
109, 114.101, 6993, 7, 6955
110, 85.0496, 4995, 7, 4945
111, 179.138, 12654, 7, 12589
112, 245.175, 16317, 7, 16257
113, 228.469, 12321, 7, 12313
114, 63.3327, 4329, 7, 4268
115, 299.152, 17361, 8, 17250
116, 209.501, 13503, 8, 13408
117, 298.77, 20576, 8, 20513
118, 144.34900000000002, 7716, 8, 7684
119, 513.5070000000001, 36008, 8, 35767
120, 195.28799999999998, 13503, 8, 13439
121, 341.598, 21219, 8, 21090
122, 329.146, 22505, 8, 22356
123, 855.032, 54012, 8, 53858
124, 246.916, 14789, 8, 14677
125, 498.271, 32793, 8, 32732
126, 207.219, 11574, 8, 11457
127, 261.411, 18647, 8, 18637
128, 244.098, 14789, 8, 14779
129, 364.012, 23148, 8, 22997
130, 53.511900000000004, 2572, 8, 2548
131, 452.628, 26363, 8, 26280
132, 745.3729999999999, 53523, 9, 53255
133, 521.422, 31926, 9, 31815
134, 354.113, 21597, 9, 21538
135, 281.434, 17841, 9, 17790
136, 287.571, 19719, 9, 19695
137, 137.88, 6573, 9, 6571
138, 10.262699999999999, 0, 9, 0
139, 10.1335, 0, 9, 0
140, 43.6648, 1878, 9, 1861
141, 288.123, 17841, 9, 17681
142, 165.055, 12207, 9, 12193
143, 787.423, 50706, 9, 50540
144, 500.139, 30987, 9, 30934
145, 215.454, 15024, 9, 15013
146, 475.686, 27231, 9, 27059
147, 494.88300000000004, 33804, 9, 33775
148, 286.356, 19719, 9, 19329
149, 444.024, 30048, 9, 29768
150, 498.612, 29109, 9, 28856
151, 279.96500000000003, 18780, 9, 18679
152, 252.83099999999996, 16902, 9, 16569
153, 626.045, 42255, 9, 42149
154, 128.30700000000002, 10329, 9, 10325
155, 401.606, 29109, 9, 28920
156, 409.329, 30987, 9, 30885
157, 361.996, 27231, 9, 27199
158, 549.137, 36621, 9, 36588
159, 532.825, 32865, 9, 32748
160, 261.943, 15963, 9, 15924
161, 335.14500000000004, 19719, 9, 19659
162, 457.716, 32865, 9, 32817
163, 153.734, 10329, 9, 10298
164, 22.099899999999998, 1001, 10, 981
165, 67.7323, 3185, 10, 3034
166, 51.2783, 2639, 10, 2579
