Paragraph, AlgoTime(ms), Result Matrix, Chapter
0, 9.25987, 390, 1
1, 6.37635, 247, 1
2, 24.3124, 1024, 1
3, 11.144, 440, 1
4, 32.698299999999996, 1332, 1
5, 39.5076, 1482, 1
6, 14.2098, 546, 1
7, 20.6102, 868, 1
8, 7.35815, 255, 1
9, 31.696, 1190, 1
10, 18.3398, 702, 1
11, 14.8001, 576, 1
12, 14.849, 575, 1
13, 27.182000000000002, 960, 1
14, 13.7129, 552, 1
15, 34.473200000000006, 1521, 1
16, 38.7397, 1554, 1
17, 27.3564, 1056, 1
18, 73.33059999999999, 3021, 1
19, 22.0455, 896, 1
20, 5.40139, 221, 1
21, 42.2727, 1755, 1
22, 13.026299999999999, 552, 2
23, 7.814730000000001, 289, 2
24, 75.0237, 2340, 2
25, 10.5329, 420, 2
26, 14.7217, 598, 2
27, 15.4792, 621, 2
28, 40.675000000000004, 1702, 2
29, 65.3076, 1978, 2
30, 58.8731, 2565, 2
31, 7.43623, 306, 2
32, 11.3049, 462, 2
33, 66.6752, 2726, 2
34, 18.1108, 729, 2
35, 58.8394, 2499, 2
36, 84.4915, 3136, 2
37, 16.9835, 675, 2
38, 35.291999999999994, 1444, 2
39, 26.551499999999997, 1023, 2
40, 6.14569, 225, 2
41, 17.1296, 754, 2
42, 27.4828, 1023, 2
43, 11.9036, 483, 2
44, 22.2751, 992, 2
45, 16.9983, 702, 3
46, 22.573900000000002, 957, 3
47, 8.03064, 306, 3
48, 30.8517, 1296, 3
49, 7.25594, 288, 3
50, 33.4138, 1368, 3
51, 39.742399999999996, 1845, 3
52, 62.396300000000004, 2544, 3
53, 37.419000000000004, 1600, 3
54, 11.8618, 480, 3
55, 13.1174, 529, 3
56, 144.998, 5329, 3
57, 61.4886, 2576, 3
58, 14.9272, 625, 3
59, 27.9131, 1120, 3
60, 27.4634, 1155, 4
61, 8.73352, 336, 4
62, 24.517, 960, 4
63, 31.1638, 1190, 4
64, 22.4802, 992, 4
65, 6.65094, 256, 4
66, 21.9501, 960, 4
67, 75.79679999999999, 2585, 4
68, 1.9692199999999997, 64, 4
69, 3.20703, 108, 4
70, 119.63300000000001, 5112, 4
71, 0.880421, 30, 4
72, 13.1173, 546, 4
73, 50.1028, 1932, 4
74, 1.07176, 36, 4
75, 82.4508, 3078, 4
76, 3.40661, 130, 4
77, 50.982600000000005, 2064, 5
78, 42.810500000000005, 1794, 5
79, 16.1919, 650, 5
80, 14.401900000000001, 575, 5
81, 18.366600000000002, 756, 5
82, 32.3571, 1295, 5
83, 1.65337, 63, 5
84, 55.737700000000004, 2400, 5
85, 29.021600000000003, 1155, 5
86, 7.8128899999999994, 288, 5
87, 32.8412, 1444, 5
88, 26.9131, 1050, 5
89, 8.90846, 323, 5
90, 68.22739999999999, 2744, 5
91, 14.815399999999999, 650, 6
92, 23.0519, 900, 6
93, 18.8151, 756, 6
94, 30.7363, 1332, 6
95, 10.0183, 380, 6
96, 33.515499999999996, 1440, 6
97, 3.9593199999999995, 156, 6
98, 17.586199999999998, 700, 6
99, 95.3687, 3422, 6
100, 35.796, 1400, 6
101, 36.0312, 1368, 6
102, 8.34245, 306, 6
103, 63.526799999999994, 2650, 6
104, 11.9247, 462, 6
105, 2.763, 100, 7
106, 47.2193, 1892, 7
107, 29.2952, 1188, 7
108, 43.0345, 1833, 7
109, 10.181600000000001, 450, 7
110, 8.04351, 342, 7
111, 37.9601, 1554, 7
112, 90.7436, 2862, 7
113, 46.4223, 1640, 7
114, 7.471819999999999, 306, 7
115, 23.4415, 961, 8
116, 16.1889, 650, 8
117, 30.561999999999998, 1260, 8
118, 5.73379, 240, 8
119, 93.3417, 3900, 8
120, 14.6981, 625, 8
121, 33.3641, 1332, 8
122, 39.716, 1638, 8
123, 179.35000000000002, 6864, 8
124, 28.1845, 1053, 8
125, 61.3289, 2420, 8
126, 12.461500000000001, 484, 8
127, 28.5213, 1188, 8
128, 21.611600000000003, 810, 8
129, 34.881299999999996, 1440, 8
130, 1.42976, 64, 8
131, 52.9543, 2115, 8
132, 91.7542, 3477, 9
133, 35.8816, 1406, 9
134, 17.627, 729, 9
135, 12.890699999999999, 529, 9
136, 12.0281, 525, 9
137, 3.1371200000000004, 110, 9
138, 0.57001, 24, 9
139, 0.325369, 16, 9
140, 0.673119, 36, 9
141, 11.6083, 460, 9
142, 6.32689, 255, 9
143, 76.6775, 3248, 9
144, 34.1484, 1332, 9
145, 10.308, 400, 9
146, 24.500899999999998, 990, 9
147, 37.3866, 1520, 9
148, 14.6049, 625, 9
149, 23.5702, 1008, 9
150, 37.1714, 1505, 9
151, 13.6078, 552, 9
152, 10.649199999999999, 440, 9
153, 64.8794, 2646, 9
154, 5.19611, 225, 9
155, 26.5776, 1190, 9
156, 34.863400000000006, 1443, 9
157, 25.8178, 1122, 9
158, 34.7302, 1376, 9
159, 37.7105, 1560, 9
160, 10.9558, 399, 9
161, 12.7432, 500, 9
162, 35.787800000000004, 1404, 9
163, 5.07785, 195, 9
164, 4.82748, 180, 10
165, 35.7924, 1560, 10
166, 32.764, 1287, 10
