Paragraph, AlgoTime(ms), Result Matrix, Chapter
0, 2.79413, 390, 1
1, 1.87757, 247, 1
2, 7.64178, 1024, 1
3, 3.45634, 440, 1
4, 9.307350000000001, 1332, 1
5, 12.196200000000001, 1482, 1
6, 4.44719, 546, 1
7, 5.46389, 868, 1
8, 2.5630100000000002, 255, 1
9, 10.0433, 1190, 1
10, 4.97692, 702, 1
11, 4.49733, 576, 1
12, 4.08166, 575, 1
13, 8.96775, 960, 1
14, 3.99287, 552, 1
15, 8.52861, 1521, 1
16, 11.7705, 1554, 1
17, 8.0955, 1056, 1
18, 18.5425, 3021, 1
19, 6.38992, 896, 1
20, 1.53418, 221, 1
21, 12.2606, 1755, 1
22, 3.4044700000000003, 552, 2
23, 2.6029400000000003, 289, 2
24, 26.3889, 2340, 2
25, 2.85723, 420, 2
26, 4.27682, 598, 2
27, 4.06676, 621, 2
28, 10.4349, 1702, 2
29, 28.221799999999998, 1978, 2
30, 30.153200000000002, 2565, 2
31, 2.07831, 306, 2
32, 3.2269400000000004, 462, 2
33, 17.5847, 2726, 2
34, 5.17, 729, 2
35, 14.9277, 2499, 2
36, 29.8831, 3136, 2
37, 4.90015, 675, 2
38, 9.84822, 1444, 2
39, 7.525460000000001, 1023, 2
40, 2.0887800000000003, 225, 2
41, 4.31653, 754, 2
42, 8.381599999999999, 1023, 2
43, 3.36585, 483, 2
44, 5.40107, 992, 2
45, 4.723, 702, 3
46, 5.9274000000000004, 957, 3
47, 2.2483199999999997, 306, 3
48, 8.14714, 1296, 3
49, 2.0223799999999996, 288, 3
50, 9.279900000000001, 1368, 3
51, 10.240300000000001, 1845, 3
52, 19.5858, 2544, 3
53, 9.7176, 1600, 3
54, 3.8824300000000003, 480, 3
55, 3.5873, 529, 3
56, 43.9754, 5329, 3
57, 31.269199999999998, 2576, 3
58, 4.02337, 625, 3
59, 7.8599, 1120, 3
60, 7.81836, 1155, 4
61, 2.56914, 336, 4
62, 8.72442, 960, 4
63, 9.0011, 1190, 4
64, 6.3919, 992, 4
65, 2.1820199999999996, 256, 4
66, 6.13296, 960, 4
67, 24.1768, 2585, 4
68, 0.799641, 64, 4
69, 1.23248, 108, 4
70, 42.7564, 5112, 4
71, 0.353457, 30, 4
72, 3.75006, 546, 4
73, 13.0828, 1932, 4
74, 0.452312, 36, 4
75, 18.9659, 3078, 4
76, 1.10972, 130, 4
77, 13.4858, 2064, 5
78, 11.2484, 1794, 5
79, 4.72563, 650, 5
80, 4.127269999999999, 575, 5
81, 5.1236500000000005, 756, 5
82, 8.38381, 1295, 5
83, 0.592183, 63, 5
84, 14.0731, 2400, 5
85, 7.96357, 1155, 5
86, 2.61271, 288, 5
87, 7.99882, 1444, 5
88, 7.7078299999999995, 1050, 5
89, 2.72037, 323, 5
90, 19.1098, 2744, 5
91, 4.30253, 650, 6
92, 6.795640000000001, 900, 6
93, 5.03993, 756, 6
94, 7.75891, 1332, 6
95, 3.1227400000000003, 380, 6
96, 8.04534, 1440, 6
97, 1.16268, 156, 6
98, 5.07444, 700, 6
99, 20.5247, 3422, 6
100, 9.97188, 1400, 6
101, 10.3349, 1368, 6
102, 2.66752, 306, 6
103, 16.4707, 2650, 6
104, 3.75288, 462, 6
105, 0.907504, 100, 7
106, 12.4048, 1892, 7
107, 8.453429999999999, 1188, 7
108, 10.6634, 1833, 7
109, 2.57764, 450, 7
110, 2.5203, 342, 7
111, 10.4411, 1554, 7
112, 18.962400000000002, 2862, 7
113, 20.2401, 1640, 7
114, 2.2477199999999997, 306, 7
115, 6.346970000000001, 961, 8
116, 4.4347900000000005, 650, 8
117, 8.448229999999999, 1260, 8
118, 1.8298699999999999, 240, 8
119, 24.0065, 3900, 8
120, 3.5719499999999997, 625, 8
121, 9.6003, 1332, 8
122, 10.3449, 1638, 8
123, 52.704, 6864, 8
124, 8.40076, 1053, 8
125, 21.8975, 2420, 8
126, 3.68361, 484, 8
127, 7.72709, 1188, 8
128, 6.42737, 810, 8
129, 10.676, 1440, 8
130, 0.60778, 64, 8
131, 21.1075, 2115, 8
132, 19.1255, 3477, 9
133, 10.3035, 1406, 9
134, 4.987509999999999, 729, 9
135, 3.88182, 529, 9
136, 3.35777, 525, 9
137, 1.1809500000000002, 110, 9
138, 0.30592400000000003, 24, 9
139, 0.19234600000000002, 16, 9
140, 0.37233999999999995, 36, 9
141, 3.40245, 460, 9
142, 1.7424899999999999, 255, 9
143, 21.218899999999998, 3248, 9
144, 10.347900000000001, 1332, 9
145, 3.1291499999999997, 400, 9
146, 7.09201, 990, 9
147, 10.1198, 1520, 9
148, 3.69211, 625, 9
149, 6.17967, 1008, 9
150, 10.9848, 1505, 9
151, 3.96529, 552, 9
152, 2.89304, 440, 9
153, 16.4393, 2646, 9
154, 1.36147, 225, 9
155, 6.987690000000001, 1190, 9
156, 8.68075, 1443, 9
157, 6.71319, 1122, 9
158, 10.0763, 1376, 9
159, 10.760499999999999, 1560, 9
160, 3.85609, 399, 9
161, 3.6427199999999997, 500, 9
162, 8.92984, 1404, 9
163, 1.4907, 195, 9
164, 1.54437, 180, 10
165, 9.55719, 1560, 10
166, 9.49888, 1287, 10
