Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 1.50285, 390, 1, 384
1, 0.599194, 247, 1, 242
2, 2.3143700000000003, 1024, 1, 984
3, 1.1238400000000002, 440, 1, 414
4, 3.07532, 1332, 1, 1268
5, 3.8383800000000003, 1482, 1, 1444
6, 1.66611, 546, 1, 527
7, 14.443100000000001, 868, 1, 856
8, 0.701021, 255, 1, 240
9, 2.95321, 1190, 1, 1134
10, 1.57909, 702, 1, 674
11, 1.4513900000000002, 576, 1, 563
12, 1.34066, 575, 1, 558
13, 2.47976, 960, 1, 930
14, 1.26488, 552, 1, 542
15, 5.34427, 1521, 1, 1482
16, 3.49613, 1554, 1, 1546
17, 2.49962, 1056, 1, 1041
18, 8.14866, 3021, 1, 2955
19, 2.11109, 896, 1, 878
20, 0.5325310000000001, 221, 1, 176
21, 3.75664, 1755, 1, 1729
22, 1.16381, 552, 2, 532
23, 0.771743, 289, 2, 283
24, 5.42412, 2340, 2, 2283
25, 0.9803870000000001, 420, 2, 404
26, 1.40431, 598, 2, 572
27, 1.36203, 621, 2, 595
28, 11.731, 1702, 2, 1678
29, 7.817569999999999, 1978, 2, 1947
30, 5.372199999999999, 2565, 2, 2540
31, 0.673681, 306, 2, 297
32, 1.08216, 462, 2, 444
33, 5.89809, 2726, 2, 2696
34, 1.75454, 729, 2, 722
35, 5.15218, 2499, 2, 2462
36, 6.80945, 3136, 2, 3071
37, 1.6637799999999998, 675, 2, 642
38, 3.2166799999999998, 1444, 2, 1397
39, 2.49357, 1023, 2, 1004
40, 0.6210439999999999, 225, 2, 213
41, 1.5396699999999999, 754, 2, 739
42, 2.49537, 1023, 2, 1006
43, 1.1753, 483, 2, 476
44, 1.90862, 992, 2, 959
45, 1.5700399999999999, 702, 3, 675
46, 2.1353, 957, 3, 939
47, 0.764352, 306, 3, 299
48, 2.87287, 1296, 3, 1271
49, 0.6745129999999999, 288, 3, 280
50, 3.10754, 1368, 3, 1329
51, 3.89656, 1845, 3, 1798
52, 13.2377, 2544, 3, 2509
53, 3.39295, 1600, 3, 1564
54, 1.35849, 480, 3, 453
55, 1.21464, 529, 3, 511
56, 11.4516, 5329, 3, 5255
57, 6.7764299999999995, 2576, 3, 2510
58, 1.37634, 625, 3, 612
59, 2.49888, 1120, 3, 1059
60, 2.4952400000000003, 1155, 4, 1127
61, 0.86989, 336, 4, 327
62, 2.54369, 960, 4, 924
63, 2.78445, 1190, 4, 1171
64, 2.2407500000000002, 992, 4, 965
65, 0.681721, 256, 4, 243
66, 3.4696599999999997, 960, 4, 941
67, 7.77016, 2585, 4, 2559
68, 0.22621, 64, 4, 58
69, 0.355221, 108, 4, 107
70, 22.0985, 5112, 4, 5058
71, 0.123862, 30, 4, 29
72, 1.86081, 546, 4, 540
73, 4.50605, 1932, 4, 1901
74, 0.136952, 36, 4, 34
75, 6.46908, 3078, 4, 3052
76, 0.34456200000000003, 130, 4, 125
77, 4.578010000000001, 2064, 5, 2023
78, 7.54514, 1794, 5, 1749
79, 1.53577, 650, 5, 635
80, 1.4072200000000001, 575, 5, 558
81, 1.87494, 756, 5, 732
82, 2.85311, 1295, 5, 1274
83, 0.193542, 63, 5, 49
84, 5.07578, 2400, 5, 2348
85, 2.60372, 1155, 5, 1132
86, 0.745355, 288, 5, 275
87, 2.8544, 1444, 5, 1387
88, 2.4469700000000003, 1050, 5, 1037
89, 0.7997040000000001, 323, 5, 305
90, 6.27903, 2744, 5, 2721
91, 1.42001, 650, 6, 629
92, 2.07987, 900, 6, 877
93, 1.71276, 756, 6, 747
94, 2.76742, 1332, 6, 1304
95, 1.0127599999999999, 380, 6, 350
96, 3.13181, 1440, 6, 1401
97, 0.400794, 156, 6, 135
98, 1.65289, 700, 6, 676
99, 14.165199999999999, 3422, 6, 3319
100, 3.2773, 1400, 6, 1369
101, 3.07771, 1368, 6, 1309
102, 0.774184, 306, 6, 289
103, 8.12509, 2650, 6, 2614
104, 1.1757499999999999, 462, 6, 443
105, 0.282274, 100, 7, 93
106, 8.285779999999999, 1892, 7, 1866
107, 2.68839, 1188, 7, 1156
108, 3.70033, 1833, 7, 1785
109, 0.890333, 450, 7, 442
110, 0.807495, 342, 7, 315
111, 3.38115, 1554, 7, 1530
112, 6.29105, 2862, 7, 2823
113, 3.9570300000000005, 1640, 7, 1616
114, 0.6968179999999999, 306, 7, 291
115, 2.1243600000000002, 961, 8, 929
116, 1.45007, 650, 8, 625
117, 2.77114, 1260, 8, 1238
118, 0.63578, 240, 8, 226
119, 14.9161, 3900, 8, 3832
120, 1.2962500000000001, 625, 8, 593
121, 3.0121100000000003, 1332, 8, 1304
122, 6.38471, 1638, 8, 1604
123, 21.3184, 6864, 8, 6778
124, 2.53002, 1053, 8, 1035
125, 8.56594, 2420, 8, 2358
126, 1.21172, 484, 8, 459
127, 2.59852, 1188, 8, 1176
128, 1.9616799999999999, 810, 8, 802
129, 3.29563, 1440, 8, 1387
130, 0.194827, 64, 8, 50
131, 4.89383, 2115, 8, 2029
132, 6.7863999999999995, 3477, 9, 3433
133, 3.2457100000000003, 1406, 9, 1373
134, 1.59659, 729, 9, 638
135, 1.25816, 529, 9, 508
136, 1.14681, 525, 9, 513
137, 0.366424, 110, 9, 104
138, 0.09916699999999999, 24, 9, 19
139, 0.07676799999999999, 16, 9, 8
140, 0.129869, 36, 9, 26
141, 1.0925399999999998, 460, 9, 424
142, 0.590575, 255, 9, 249
143, 13.9678, 3248, 9, 3199
144, 3.14872, 1332, 9, 1312
145, 0.9988499999999999, 400, 9, 394
146, 2.28506, 990, 9, 974
147, 3.3487500000000003, 1520, 9, 1503
148, 1.3247, 625, 9, 595
149, 2.22267, 1008, 9, 979
150, 3.59126, 1505, 9, 1469
151, 1.25644, 552, 9, 528
152, 1.0070000000000001, 440, 9, 410
153, 5.626510000000001, 2646, 9, 2606
154, 0.507814, 225, 9, 220
155, 2.4610399999999997, 1190, 9, 1149
156, 2.99083, 1443, 9, 1411
157, 2.38501, 1122, 9, 1110
158, 3.14325, 1376, 9, 1356
159, 3.53331, 1560, 9, 1524
160, 1.463, 399, 9, 384
161, 1.1809800000000001, 500, 9, 479
162, 2.94774, 1404, 9, 1381
163, 0.48574700000000004, 195, 9, 182
164, 0.49385900000000005, 180, 10, 167
165, 3.1925299999999996, 1560, 10, 1437
166, 3.11239, 1287, 10, 1249
