Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 0.9933539999999998, 390, 1, 384
1, 0.6413989999999999, 247, 1, 242
2, 2.5761, 1024, 1, 984
3, 1.1581700000000001, 440, 1, 414
4, 3.3959900000000003, 1332, 1, 1268
5, 12.8812, 1482, 1, 1444
6, 1.49442, 546, 1, 527
7, 2.13065, 868, 1, 856
8, 0.746082, 255, 1, 240
9, 12.377, 1190, 1, 1134
10, 1.83701, 702, 1, 674
11, 1.5723, 576, 1, 563
12, 1.4848999999999999, 575, 1, 558
13, 2.69326, 960, 1, 930
14, 1.54279, 552, 1, 542
15, 3.61198, 1521, 1, 1482
16, 3.92829, 1554, 1, 1546
17, 2.77267, 1056, 1, 1041
18, 12.263, 3021, 1, 2955
19, 2.4232899999999997, 896, 1, 878
20, 0.572385, 221, 1, 176
21, 4.5360499999999995, 1755, 1, 1729
22, 1.3354700000000002, 552, 2, 532
23, 0.837144, 289, 2, 283
24, 16.7338, 2340, 2, 2283
25, 1.08668, 420, 2, 404
26, 1.5737100000000002, 598, 2, 572
27, 1.5414700000000001, 621, 2, 595
28, 4.20298, 1702, 2, 1678
29, 5.0461100000000005, 1978, 2, 1947
30, 6.24578, 2565, 2, 2540
31, 0.800948, 306, 2, 297
32, 1.2041899999999999, 462, 2, 444
33, 6.840920000000001, 2726, 2, 2696
34, 1.88304, 729, 2, 722
35, 12.6415, 2499, 2, 2462
36, 19.8305, 3136, 2, 3071
37, 1.81627, 675, 2, 642
38, 3.6487600000000002, 1444, 2, 1397
39, 16.307499999999997, 1023, 2, 1004
40, 0.639827, 225, 2, 213
41, 1.8080399999999999, 754, 2, 739
42, 10.827, 1023, 2, 1006
43, 4.13129, 483, 2, 476
44, 2.37899, 992, 2, 959
45, 1.76807, 702, 3, 675
46, 2.47708, 957, 3, 939
47, 0.810651, 306, 3, 299
48, 3.1676, 1296, 3, 1271
49, 0.754422, 288, 3, 280
50, 3.3933, 1368, 3, 1329
51, 5.0115799999999995, 1845, 3, 1798
52, 14.2056, 2544, 3, 2509
53, 4.07717, 1600, 3, 1564
54, 1.35564, 480, 3, 453
55, 1.3908099999999999, 529, 3, 511
56, 20.995, 5329, 3, 5255
57, 6.48025, 2576, 3, 2510
58, 1.58295, 625, 3, 612
59, 2.78827, 1120, 3, 1059
60, 2.83389, 1155, 4, 1127
61, 0.913981, 336, 4, 327
62, 2.6601, 960, 4, 924
63, 3.0912800000000002, 1190, 4, 1171
64, 2.47615, 992, 4, 965
65, 0.725133, 256, 4, 243
66, 2.43763, 960, 4, 941
67, 12.2132, 2585, 4, 2559
68, 0.21227200000000002, 64, 4, 58
69, 0.33210599999999996, 108, 4, 107
70, 20.9523, 5112, 4, 5058
71, 0.103932, 30, 4, 29
72, 1.37203, 546, 4, 540
73, 4.87648, 1932, 4, 1901
74, 0.13170900000000002, 36, 4, 34
75, 7.35561, 3078, 4, 3052
76, 0.364844, 130, 4, 125
77, 13.089, 2064, 5, 2023
78, 4.30176, 1794, 5, 1749
79, 1.7336, 650, 5, 635
80, 1.50021, 575, 5, 558
81, 1.9706, 756, 5, 732
82, 4.931310000000001, 1295, 5, 1274
83, 0.198141, 63, 5, 49
84, 7.1747, 2400, 5, 2348
85, 3.04207, 1155, 5, 1132
86, 0.8342109999999999, 288, 5, 275
87, 3.5707999999999998, 1444, 5, 1387
88, 3.76547, 1050, 5, 1037
89, 0.910824, 323, 5, 305
90, 11.5252, 2744, 5, 2721
91, 1.75172, 650, 6, 629
92, 2.5724799999999997, 900, 6, 877
93, 2.06272, 756, 6, 747
94, 3.24693, 1332, 6, 1304
95, 1.08373, 380, 6, 350
96, 9.72378, 1440, 6, 1401
97, 0.427012, 156, 6, 135
98, 1.86373, 700, 6, 676
99, 8.428410000000001, 3422, 6, 3319
100, 3.70958, 1400, 6, 1369
101, 3.64396, 1368, 6, 1309
102, 0.864263, 306, 6, 289
103, 6.645370000000001, 2650, 6, 2614
104, 1.2632800000000002, 462, 6, 443
105, 0.287634, 100, 7, 93
106, 13.7881, 1892, 7, 1866
107, 3.01427, 1188, 7, 1156
