Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 2.77887, 390, 1, 384
1, 1.96707, 247, 1, 242
2, 8.835700000000001, 1024, 1, 984
3, 3.3942799999999997, 440, 1, 414
4, 9.18758, 1332, 1, 1268
5, 12.0418, 1482, 1, 1444
6, 4.4176, 546, 1, 527
7, 5.39663, 868, 1, 856
8, 2.5111399999999997, 255, 1, 240
9, 9.92422, 1190, 1, 1134
10, 4.73067, 702, 1, 674
11, 4.50295, 576, 1, 563
12, 4.0416799999999995, 575, 1, 558
13, 8.986799999999999, 960, 1, 930
14, 4.023750000000001, 552, 1, 542
15, 8.4013, 1521, 1, 1482
16, 10.501, 1554, 1, 1546
17, 8.00098, 1056, 1, 1041
18, 18.4954, 3021, 1, 2955
19, 6.32766, 896, 1, 878
20, 1.48348, 221, 1, 176
21, 10.5876, 1755, 1, 1729
22, 3.35781, 552, 2, 532
23, 2.55755, 289, 2, 283
24, 27.4499, 2340, 2, 2283
25, 2.89434, 420, 2, 404
26, 4.2462, 598, 2, 572
27, 3.9233000000000002, 621, 2, 595
28, 10.398, 1702, 2, 1678
29, 13.6644, 1978, 2, 1947
30, 31.947799999999997, 2565, 2, 2540
31, 2.03564, 306, 2, 297
32, 3.27652, 462, 2, 444
33, 22.282300000000003, 2726, 2, 2696
34, 5.09642, 729, 2, 722
35, 15.183, 2499, 2, 2462
36, 19.9326, 3136, 2, 3071
37, 4.92159, 675, 2, 642
38, 9.898570000000001, 1444, 2, 1397
39, 7.5037899999999995, 1023, 2, 1004
40, 2.0738000000000003, 225, 2, 213
41, 4.36285, 754, 2, 739
42, 8.21179, 1023, 2, 1006
43, 3.38932, 483, 2, 476
44, 5.45014, 992, 2, 959
45, 4.7980100000000006, 702, 3, 675
46, 5.7169, 957, 3, 939
47, 2.34434, 306, 3, 299
48, 8.15011, 1296, 3, 1271
49, 1.9966799999999998, 288, 3, 280
50, 9.39159, 1368, 3, 1329
51, 10.3765, 1845, 3, 1798
52, 16.337799999999998, 2544, 3, 2509
53, 9.52639, 1600, 3, 1564
54, 3.74252, 480, 3, 453
55, 3.6386499999999997, 529, 3, 511
56, 41.0274, 5329, 3, 5255
57, 34.528200000000005, 2576, 3, 2510
58, 4.05293, 625, 3, 612
59, 7.57812, 1120, 3, 1059
60, 13.562, 1155, 4, 1127
61, 2.61822, 336, 4, 327
62, 8.50384, 960, 4, 924
63, 8.95987, 1190, 4, 1171
64, 6.272, 992, 4, 965
65, 2.20159, 256, 4, 243
66, 6.09823, 960, 4, 941
67, 15.926699999999999, 2585, 4, 2559
68, 0.821759, 64, 4, 58
69, 1.21392, 108, 4, 107
70, 46.082699999999996, 5112, 4, 5058
71, 0.34619, 30, 4, 29
72, 3.7914, 546, 4, 540
73, 12.9984, 1932, 4, 1901
74, 0.449594, 36, 4, 34
75, 19.227899999999998, 3078, 4, 3052
76, 1.58767, 130, 4, 125
77, 13.5269, 2064, 5, 2023
78, 11.325800000000001, 1794, 5, 1749
79, 4.73203, 650, 5, 635
80, 4.10738, 575, 5, 558
81, 4.98377, 756, 5, 732
82, 8.48346, 1295, 5, 1274
83, 0.5593319999999999, 63, 5, 49
84, 14.0701, 2400, 5, 2348
85, 7.92793, 1155, 5, 1132
86, 2.66469, 288, 5, 275
87, 8.15052, 1444, 5, 1387
88, 7.65986, 1050, 5, 1037
89, 2.6924200000000003, 323, 5, 305
90, 28.8491, 2744, 5, 2721
91, 5.46922, 650, 6, 629
92, 6.79627, 900, 6, 877
93, 5.00539, 756, 6, 747
94, 7.9034699999999996, 1332, 6, 1304
95, 3.14299, 380, 6, 350
96, 8.08072, 1440, 6, 1401
97, 1.18374, 156, 6, 135
98, 5.23073, 700, 6, 676
99, 28.185000000000002, 3422, 6, 3319
100, 10.142999999999999, 1400, 6, 1369
101, 10.1621, 1368, 6, 1309
102, 2.6598699999999997, 306, 6, 289
103, 16.3489, 2650, 6, 2614
104, 4.85849, 462, 6, 443
105, 0.914486, 100, 7, 93
106, 12.6196, 1892, 7, 1866
107, 8.43867, 1188, 7, 1156
108, 10.6943, 1833, 7, 1785
109, 2.4718, 450, 7, 442
110, 2.56877, 342, 7, 315
111, 10.3765, 1554, 7, 1530
112, 18.959699999999998, 2862, 7, 2823
113, 18.1635, 1640, 7, 1616
114, 2.1256500000000003, 306, 7, 291
115, 6.26522, 961, 8, 929
116, 4.41619, 650, 8, 625
117, 8.47247, 1260, 8, 1238
118, 1.81265, 240, 8, 226
119, 26.4064, 3900, 8, 3832
120, 3.51058, 625, 8, 593
121, 9.75337, 1332, 8, 1304
122, 10.1364, 1638, 8, 1604
123, 98.82929999999999, 6864, 8, 6778
124, 8.39312, 1053, 8, 1035
125, 17.551199999999998, 2420, 8, 2358
126, 3.57495, 484, 8, 459
127, 7.67381, 1188, 8, 1176
128, 18.4708, 810, 8, 802
129, 18.578899999999997, 1440, 8, 1387
130, 0.66224, 64, 8, 50
131, 14.8203, 2115, 8, 2029
132, 35.0471, 3477, 9, 3433
133, 10.2677, 1406, 9, 1373
134, 5.00817, 729, 9, 638
135, 3.87955, 529, 9, 508
136, 3.38609, 525, 9, 513
137, 1.15324, 110, 9, 104
138, 0.331241, 24, 9, 19
139, 0.214212, 16, 9, 8
140, 0.398682, 36, 9, 26
141, 3.37256, 460, 9, 424
142, 1.75288, 255, 9, 249
143, 37.8291, 3248, 9, 3199
144, 10.328800000000001, 1332, 9, 1312
145, 3.1719, 400, 9, 394
146, 7.04265, 990, 9, 974
147, 9.9372, 1520, 9, 1503
148, 3.67718, 625, 9, 595
149, 6.0803899999999995, 1008, 9, 979
150, 19.1276, 1505, 9, 1469
151, 6.18787, 552, 9, 528
152, 2.93904, 440, 9, 410
153, 16.5273, 2646, 9, 2606
154, 1.37432, 225, 9, 220
155, 6.77609, 1190, 9, 1149
156, 8.91652, 1443, 9, 1411
157, 26.816300000000002, 1122, 9, 1110
158, 9.85706, 1376, 9, 1356
159, 10.8161, 1560, 9, 1524
160, 3.84883, 399, 9, 384
161, 3.73838, 500, 9, 479
162, 8.85818, 1404, 9, 1381
163, 1.48068, 195, 9, 182
164, 1.53411, 180, 10, 167
165, 9.49665, 1560, 10, 1437
166, 9.61558, 1287, 10, 1249
