Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 45.356300000000005, 390, 1, 342
1, 7.5539, 247, 1, 217
2, 16.7994, 1024, 1, 948
3, 30.991500000000002, 440, 1, 426
4, 24.3039, 1332, 1, 1257
5, 49.337399999999995, 1482, 1, 1400
6, 12.5042, 546, 1, 524
7, 41.7164, 868, 1, 821
8, 7.4851600000000005, 255, 1, 225
9, 17.38, 1190, 1, 1105
10, 14.9816, 702, 1, 647
11, 33.5597, 576, 1, 536
12, 14.0419, 575, 1, 512
13, 39.855799999999995, 960, 1, 887
14, 45.610400000000006, 552, 1, 520
15, 19.839599999999997, 1521, 1, 1397
16, 18.8993, 1554, 1, 1493
17, 40.5402, 1056, 1, 1017
18, 27.4355, 3021, 1, 2831
19, 15.9592, 896, 1, 867
20, 7.07087, 221, 1, 176
21, 51.7914, 1755, 1, 1637
22, 36.5541, 552, 2, 497
23, 9.163879999999999, 289, 2, 269
24, 55.675599999999996, 2340, 2, 2274
25, 12.6447, 420, 2, 374
26, 37.663599999999995, 598, 2, 523
27, 63.4839, 621, 2, 533
28, 41.624300000000005, 1702, 2, 1554
29, 71.80749999999999, 1978, 2, 1920
30, 34.6235, 2565, 2, 2530
31, 8.77888, 306, 2, 282
32, 32.9727, 462, 2, 431
33, 39.653800000000004, 2726, 2, 2617
34, 28.5013, 729, 2, 693
35, 65.82770000000001, 2499, 2, 2405
36, 52.2257, 3136, 2, 3016
37, 40.4486, 675, 2, 581
38, 43.7868, 1444, 2, 1351
39, 40.0056, 1023, 2, 976
40, 7.49164, 225, 2, 199
41, 21.1599, 754, 2, 686
42, 54.534800000000004, 1023, 2, 970
43, 37.782700000000006, 483, 2, 437
44, 23.7832, 992, 2, 944
45, 18.0169, 702, 3, 648
46, 17.8176, 957, 3, 860
47, 8.932839999999999, 306, 3, 275
48, 48.2391, 1296, 3, 1213
49, 8.913630000000001, 288, 3, 247
50, 18.2809, 1368, 3, 1285
51, 30.2704, 1845, 3, 1585
52, 25.0096, 2544, 3, 2396
53, 45.5231, 1600, 3, 1491
54, 31.6152, 480, 3, 423
55, 13.5979, 529, 3, 476
56, 157.95100000000002, 5329, 3, 5141
57, 66.5624, 2576, 3, 2472
58, 40.848, 625, 3, 603
59, 17.1862, 1120, 3, 1052
60, 22.4173, 1155, 4, 1068
61, 9.449819999999999, 336, 4, 305
62, 16.1148, 960, 4, 897
63, 48.7415, 1190, 4, 1140
64, 38.9691, 992, 4, 924
65, 8.07802, 256, 4, 234
66, 29.128500000000003, 960, 4, 875
67, 71.75189999999999, 2585, 4, 2509
68, 3.76086, 64, 4, 58
69, 4.72675, 108, 4, 106
70, 69.8163, 5112, 4, 4857
71, 2.32592, 30, 4, 18
72, 53.445, 546, 4, 513
73, 41.6179, 1932, 4, 1861
74, 2.24123, 36, 4, 35
75, 130.968, 3078, 4, 2946
76, 4.72205, 130, 4, 121
77, 21.0768, 2064, 5, 1973
78, 46.4288, 1794, 5, 1681
79, 14.4269, 650, 5, 597
80, 44.250699999999995, 575, 5, 537
81, 34.8108, 756, 5, 688
82, 26.5914, 1295, 5, 1213
83, 3.09753, 63, 5, 55
84, 48.9638, 2400, 5, 2229
85, 40.961200000000005, 1155, 5, 1083
86, 8.20078, 288, 5, 255
87, 58.0527, 1444, 5, 1367
88, 44.4897, 1050, 5, 992
89, 11.300899999999999, 323, 5, 287
90, 64.65799999999999, 2744, 5, 2656
91, 39.4982, 650, 6, 591
92, 40.432500000000005, 900, 6, 846
93, 52.955099999999995, 756, 6, 695
94, 41.236000000000004, 1332, 6, 1203
95, 9.68866, 380, 6, 346
96, 20.0644, 1440, 6, 1317
97, 6.103, 156, 6, 117
98, 52.309599999999996, 700, 6, 645
99, 67.3155, 3422, 6, 3302
100, 41.365199999999994, 1400, 6, 1332
101, 63.926399999999994, 1368, 6, 1312
102, 8.45961, 306, 6, 276
103, 48.7248, 2650, 6, 2544
104, 19.1256, 462, 6, 434
105, 5.0157099999999994, 100, 7, 85
106, 45.284400000000005, 1892, 7, 1780
107, 37.2843, 1188, 7, 1110
108, 21.969099999999997, 1833, 7, 1749
109, 50.9213, 450, 7, 358
110, 8.618590000000001, 342, 7, 295
111, 30.153, 1554, 7, 1468
112, 82.8073, 2862, 7, 2732
113, 81.4792, 1640, 7, 1557
114, 9.65635, 306, 7, 258
115, 16.3783, 961, 8, 874
116, 24.186, 650, 8, 565
117, 18.476699999999997, 1260, 8, 1199
118, 6.35564, 240, 8, 200
119, 73.8336, 3900, 8, 3695
120, 38.942, 625, 8, 573
121, 40.785799999999995, 1332, 8, 1248
122, 48.629, 1638, 8, 1514
123, 105.072, 6864, 8, 6669
124, 41.6358, 1053, 8, 1004
125, 48.4043, 2420, 8, 2357
126, 61.4524, 484, 8, 407
127, 17.8124, 1188, 8, 1148
128, 46.813300000000005, 810, 8, 800
129, 71.7792, 1440, 8, 1358
130, 2.62284, 64, 8, 42
131, 72.2492, 2115, 8, 2009
132, 85.3515, 3477, 9, 3303
133, 43.536, 1406, 9, 1335
134, 69.2453, 729, 9, 699
135, 13.292399999999999, 529, 9, 479
136, 14.5572, 525, 9, 491
137, 4.20298, 110, 9, 105
138, 1.97036, 24, 9, 15
139, 1.81717, 16, 9, 6
140, 1.95147, 36, 9, 21
141, 12.2945, 460, 9, 408
142, 8.19899, 255, 9, 237
143, 56.7787, 3248, 9, 3112
144, 18.1109, 1332, 9, 1272
145, 13.4744, 400, 9, 361
146, 40.6837, 990, 9, 946
147, 18.934800000000003, 1520, 9, 1450
148, 14.3965, 625, 9, 503
149, 40.8796, 1008, 9, 899
150, 20.3959, 1505, 9, 1409
151, 13.4522, 552, 9, 503
152, 18.5453, 440, 9, 375
153, 43.5988, 2646, 9, 2537
154, 6.97543, 225, 9, 196
155, 39.737, 1190, 9, 1081
156, 19.0426, 1443, 9, 1356
157, 44.8587, 1122, 9, 1033
158, 48.0615, 1376, 9, 1307
159, 19.3351, 1560, 9, 1464
160, 65.40400000000001, 399, 9, 364
161, 19.9939, 500, 9, 446
162, 18.4458, 1404, 9, 1344
163, 6.59781, 195, 9, 182
164, 6.43976, 180, 10, 168
165, 48.0789, 1560, 10, 1464
166, 18.6011, 1287, 10, 1228
