Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 10.953299999999999, 390, 1, 326
1, 6.24789, 247, 1, 201
2, 82.0411, 1024, 1, 927
3, 42.054300000000005, 440, 1, 388
4, 16.9526, 1332, 1, 1193
5, 52.8094, 1482, 1, 1213
6, 51.8818, 546, 1, 488
7, 52.5042, 868, 1, 832
8, 6.82869, 255, 1, 204
9, 74.1205, 1190, 1, 1058
10, 34.103500000000004, 702, 1, 621
11, 55.661500000000004, 576, 1, 472
12, 78.1421, 575, 1, 474
13, 46.1617, 960, 1, 821
14, 69.94749999999999, 552, 1, 485
15, 38.1571, 1521, 1, 1364
16, 35.9159, 1554, 1, 1429
17, 52.237899999999996, 1056, 1, 973
18, 31.204800000000002, 3021, 1, 2673
19, 62.585100000000004, 896, 1, 818
20, 23.2739, 221, 1, 166
21, 75.8108, 1755, 1, 1551
22, 84.5129, 552, 2, 497
23, 7.83705, 289, 2, 225
24, 69.2446, 2340, 2, 2179
25, 53.7043, 420, 2, 345
26, 60.1565, 598, 2, 465
27, 27.1116, 621, 2, 458
28, 60.8451, 1702, 2, 1375
29, 29.621399999999998, 1978, 2, 1819
30, 86.0992, 2565, 2, 2506
31, 17.127799999999997, 306, 2, 279
32, 45.211800000000004, 462, 2, 418
33, 116.736, 2726, 2, 2478
34, 19.7131, 729, 2, 663
35, 22.7442, 2499, 2, 2344
36, 102.677, 3136, 2, 2924
37, 72.55250000000001, 675, 2, 524
38, 23.4766, 1444, 2, 1316
39, 38.3432, 1023, 2, 922
40, 8.54684, 225, 2, 172
41, 33.035599999999995, 754, 2, 674
42, 43.8396, 1023, 2, 876
43, 81.1576, 483, 2, 379
44, 71.7937, 992, 2, 955
45, 23.017599999999998, 702, 3, 625
46, 67.1699, 957, 3, 820
47, 9.451130000000001, 306, 3, 210
48, 75.70200000000001, 1296, 3, 1189
49, 28.4568, 288, 3, 231
50, 23.9205, 1368, 3, 1210
51, 24.9086, 1845, 3, 1300
52, 25.076, 2544, 3, 2277
53, 52.9731, 1600, 3, 1484
54, 27.1291, 480, 3, 395
55, 64.2934, 529, 3, 471
56, 39.6077, 5329, 3, 4913
57, 82.5385, 2576, 3, 2336
58, 31.8002, 625, 3, 597
59, 89.1052, 1120, 3, 1034
