Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 3.2595699999999996, 312, 1, 302
1, 1.86301, 187, 1, 170
2, 9.02261, 900, 1, 843
3, 3.9739600000000004, 360, 1, 346
4, 25.0692, 1190, 1, 1145
5, 16.0209, 1332, 1, 1284
6, 4.87648, 456, 1, 449
7, 7.1956299999999995, 754, 1, 742
8, 2.16702, 195, 1, 177
9, 11.693800000000001, 1056, 1, 979
10, 29.488799999999998, 600, 1, 558
11, 5.09825, 484, 1, 461
12, 5.01901, 483, 1, 452
13, 9.533339999999999, 840, 1, 783
14, 4.82534, 462, 1, 452
15, 28.9877, 1369, 1, 1339
16, 22.2698, 1400, 1, 1383
17, 25.0525, 930, 1, 917
18, 31.650100000000002, 2805, 1, 2715
19, 8.305480000000001, 780, 1, 765
20, 1.74488, 165, 1, 127
21, 27.8998, 1591, 1, 1563
22, 4.39126, 462, 2, 410
23, 2.51191, 225, 2, 222
24, 29.3124, 2150, 2, 2110
25, 3.65441, 342, 2, 323
26, 5.32422, 504, 2, 460
27, 5.16659, 525, 2, 468
28, 31.6889, 1540, 2, 1489
29, 31.7893, 1804, 2, 1791
30, 51.405899999999995, 2365, 2, 2359
31, 2.32694, 240, 2, 232
32, 3.80137, 380, 2, 365
33, 30.079700000000003, 2520, 2, 2477
34, 6.858129999999999, 625, 2, 620
35, 48.601600000000005, 2303, 2, 2273
36, 45.7356, 2916, 2, 2854
37, 6.01464, 575, 2, 495
38, 21.680600000000002, 1296, 2, 1216
39, 9.777930000000001, 899, 2, 882
40, 1.8468499999999999, 169, 2, 143
41, 12.710700000000001, 648, 2, 617
42, 17.7603, 899, 2, 872
43, 16.587999999999997, 399, 2, 389
44, 18.1796, 870, 2, 846
45, 10.9823, 600, 3, 569
46, 13.9746, 837, 3, 795
47, 2.78768, 240, 3, 231
48, 11.7083, 1156, 3, 1110
49, 2.17205, 224, 3, 211
50, 13.814, 1224, 3, 1174
51, 27.994, 1677, 3, 1599
52, 33.2239, 2346, 3, 2275
53, 28.320899999999998, 1444, 3, 1384
54, 4.728330000000001, 396, 3, 352
55, 4.38165, 441, 3, 404
56, 90.4252, 5041, 3, 4939
57, 46.8054, 2376, 3, 2268
58, 5.1724, 529, 3, 528
59, 19.677699999999998, 990, 3, 938
60, 17.8749, 1023, 4, 962
61, 2.8938900000000003, 266, 4, 255
62, 16.781299999999998, 840, 4, 788
63, 19.1081, 1056, 4, 1032
64, 14.8366, 870, 4, 841
65, 2.20676, 196, 4, 196
66, 8.14166, 840, 4, 789
67, 45.5244, 2385, 4, 2361
68, 0.46063400000000004, 36, 4, 31
69, 0.89218, 70, 4, 70
70, 69.3044, 4830, 4, 4738
71, 0.160979, 12, 4, 10
72, 4.85424, 456, 4, 449
73, 20.0252, 1760, 4, 1728
74, 0.22521999999999998, 16, 4, 16
75, 56.3376, 2860, 4, 2823
