Paragraph, AlgoTime(ms), Result Matrix, Chapter
0, 3.69894, 312, 1
1, 2.18386, 187, 1
2, 9.33296, 900, 1
3, 4.6130700000000004, 360, 1
4, 13.9331, 1190, 1
5, 17.5258, 1332, 1
6, 5.71999, 456, 1
7, 7.7077, 754, 1
8, 3.05525, 195, 1
9, 13.9759, 1056, 1
10, 6.78953, 600, 1
11, 5.84076, 484, 1
12, 5.42136, 483, 1
13, 24.0285, 840, 1
14, 5.46572, 462, 1
15, 17.7336, 1369, 1
16, 15.129999999999999, 1400, 1
17, 11.6808, 930, 1
18, 28.062, 2805, 1
19, 18.1582, 780, 1
20, 1.96342, 165, 1
21, 15.641100000000002, 1591, 1
22, 4.54959, 462, 2
23, 3.3801, 225, 2
24, 49.8404, 2150, 2
25, 3.94204, 342, 2
26, 5.71094, 504, 2
27, 5.11873, 525, 2
28, 15.4857, 1540, 2
29, 20.1781, 1804, 2
30, 23.3106, 2365, 2
31, 2.56318, 240, 2
32, 4.34201, 380, 2
33, 47.6415, 2520, 2
34, 7.40136, 625, 2
35, 22.532, 2303, 2
36, 48.645300000000006, 2916, 2
37, 6.63213, 575, 2
38, 26.3978, 1296, 2
39, 11.325999999999999, 899, 2
40, 2.4516899999999997, 169, 2
41, 6.081569999999999, 648, 2
42, 11.016, 899, 2
43, 4.68915, 399, 2
44, 8.01032, 870, 2
45, 6.5093, 600, 3
46, 8.57293, 837, 3
47, 3.09179, 240, 3
48, 11.712800000000001, 1156, 3
49, 2.5045100000000002, 224, 3
50, 13.507, 1224, 3
51, 15.2347, 1677, 3
52, 25.160999999999998, 2346, 3
53, 15.544799999999999, 1444, 3
54, 4.8541, 396, 3
55, 4.83405, 441, 3
56, 87.289, 5041, 3
57, 42.9562, 2376, 3
58, 5.61946, 529, 3
59, 25.1119, 990, 3
60, 10.8856, 1023, 4
61, 3.98296, 266, 4
62, 11.6435, 840, 4
63, 12.1435, 1056, 4
64, 8.926820000000001, 870, 4
65, 2.67427, 196, 4
66, 8.98943, 840, 4
67, 29.7137, 2385, 4
68, 0.797328, 36, 4
69, 1.3133299999999999, 70, 4
70, 50.2711, 4830, 4
71, 0.309278, 12, 4
72, 5.26762, 456, 4
73, 19.9285, 1760, 4
74, 0.42876600000000004, 16, 4
75, 52.484700000000004, 2860, 4
76, 1.1408399999999999, 88, 4
77, 19.8583, 1886, 5
78, 27.3329, 1628, 5
79, 6.6673599999999995, 552, 5
80, 5.90433, 483, 5
81, 6.903300000000001, 650, 5
82, 24.332199999999997, 1155, 5
83, 0.5816760000000001, 35, 5
84, 21.0184, 2208, 5
85, 10.9669, 1023, 5
86, 3.02849, 224, 5
87, 11.7297, 1296, 5
88, 10.3076, 924, 5
89, 3.41262, 255, 5
90, 50.1844, 2538, 5
91, 5.62303, 552, 6
92, 13.014, 784, 6
93, 7.11611, 650, 6
94, 11.3947, 1190, 6
95, 4.17328, 306, 6
96, 12.1883, 1292, 6
97, 2.7570300000000003, 110, 6
98, 6.89872, 598, 6
99, 41.6293, 3192, 6
100, 14.918199999999999, 1254, 6
101, 30.450000000000003, 1224, 6
102, 3.18252, 240, 6
103, 25.2314, 2448, 6
104, 4.83814, 380, 6
105, 0.9873740000000001, 64, 7
106, 23.7815, 1722, 7
107, 12.110199999999999, 1054, 7
108, 22.1625, 1665, 7
109, 3.3619399999999997, 368, 7
110, 3.24864, 272, 7
111, 14.3553, 1400, 7
112, 43.7945, 2652, 7
113, 22.2056, 1482, 7
114, 2.63305, 240, 7
115, 9.250539999999999, 841, 8
116, 5.95811, 552, 8
117, 11.791599999999999, 1122, 8
118, 2.3815, 182, 8
119, 44.715199999999996, 3654, 8
120, 5.04919, 529, 8
121, 13.614700000000001, 1190, 8
122, 14.474499999999999, 1480, 8
123, 105.449, 6536, 8
124, 12.6278, 925, 8
125, 28.1029, 2226, 8
126, 4.82977, 400, 8
127, 22.0396, 1054, 8
128, 8.521880000000001, 700, 8
129, 14.9848, 1292, 8
130, 0.640594, 36, 8
131, 35.013299999999994, 1935, 8
132, 29.418300000000002, 3245, 9
133, 14.5143, 1260, 9
134, 7.09049, 625, 9
135, 5.27203, 441, 9
136, 4.493259999999999, 437, 9
137, 1.27604, 72, 9
138, 0.28119799999999995, 8, 9
139, 0.149985, 4, 9
140, 0.351068, 16, 9
141, 4.40782, 378, 9
142, 2.17245, 195, 9
143, 73.13210000000001, 3024, 9
144, 14.2742, 1190, 9
145, 3.71327, 324, 9
146, 9.954229999999999, 868, 9
147, 14.119, 1368, 9
148, 5.14567, 529, 9
149, 16.673099999999998, 884, 9
150, 16.258499999999998, 1353, 9
151, 5.36555, 462, 9
152, 3.92232, 360, 9
153, 24.773699999999998, 2444, 9
154, 1.68801, 169, 9
155, 9.594570000000001, 1056, 9
156, 12.6166, 1295, 9
157, 9.702350000000001, 992, 9
158, 13.8966, 1230, 9
159, 15.6092, 1406, 9
160, 4.744680000000001, 323, 9
161, 5.1468, 414, 9
162, 12.452599999999999, 1258, 9
163, 1.71599, 143, 9
164, 1.9925599999999999, 130, 10
165, 14.3307, 1406, 10
166, 14.7449, 1147, 10
