Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 1.4135199999999999, 242, 1, 231
1, 0.7610629999999999, 135, 1, 118
2, 4.3025, 784, 1, 697
3, 1.7702099999999998, 288, 1, 245
4, 11.2689, 1056, 1, 1005
5, 13.2759, 1190, 1, 1111
6, 2.10235, 374, 1, 368
7, 3.3353800000000002, 648, 1, 631
8, 0.955119, 143, 1, 118
9, 13.4887, 930, 1, 813
10, 12.8303, 506, 1, 454
11, 2.38077, 400, 1, 372
12, 2.3211299999999997, 399, 1, 358
13, 4.2672099999999995, 728, 1, 629
14, 2.16382, 380, 1, 359
15, 20.6071, 1225, 1, 1197
16, 15.752100000000002, 1254, 1, 1223
17, 5.03021, 812, 1, 809
18, 18.1208, 2597, 1, 2453
19, 3.71272, 672, 1, 654
20, 0.66662, 117, 1, 62
21, 14.2796, 1435, 1, 1420
22, 2.06273, 380, 2, 316
23, 1.0805, 169, 2, 159
24, 21.6538, 1968, 2, 1913
25, 1.60779, 272, 2, 239
26, 2.31743, 418, 2, 345
27, 2.2561299999999997, 437, 2, 364
28, 16.738200000000003, 1386, 2, 1316
29, 21.2995, 1638, 2, 1618
30, 11.2333, 2173, 2, 2170
31, 0.9729810000000001, 182, 2, 165
32, 1.73974, 306, 2, 300
33, 35.5811, 2322, 2, 2237
34, 3.1490099999999996, 529, 2, 525
35, 23.434900000000003, 2115, 2, 2087
36, 41.9707, 2704, 2, 2615
37, 14.8708, 483, 2, 385
38, 6.262840000000001, 1156, 2, 1036
39, 4.61362, 783, 2, 752
40, 0.776794, 121, 2, 91
41, 2.88295, 550, 2, 499
42, 4.5424999999999995, 783, 2, 748
43, 1.94955, 323, 2, 303
44, 3.8864300000000003, 756, 2, 711
45, 2.80512, 506, 3, 447
46, 3.9241500000000005, 725, 3, 674
47, 1.12235, 182, 3, 181
48, 5.68452, 1024, 3, 957
49, 0.926492, 168, 3, 158
50, 18.4428, 1088, 3, 1025
51, 12.420300000000001, 1517, 3, 1410
52, 12.7105, 2156, 3, 2059
53, 15.324000000000002, 1296, 3, 1218
54, 8.19011, 320, 3, 252
55, 2.02279, 361, 3, 300
56, 70.3065, 4761, 3, 4646
57, 20.634, 2184, 3, 2044
