Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 7.09492, 242, 1, 231
1, 3.9071000000000002, 135, 1, 118
2, 21.1221, 784, 1, 697
3, 9.12396, 288, 1, 245
4, 29.6982, 1056, 1, 1005
5, 55.8375, 1190, 1, 1111
6, 11.165700000000001, 374, 1, 368
7, 16.7779, 648, 1, 631
8, 5.2403900000000005, 143, 1, 118
9, 28.798299999999998, 930, 1, 813
10, 39.2482, 506, 1, 454
11, 11.5341, 400, 1, 372
12, 11.2068, 399, 1, 358
13, 30.5795, 728, 1, 629
14, 11.0726, 380, 1, 359
15, 41.8497, 1225, 1, 1197
16, 45.8581, 1254, 1, 1223
17, 24.2886, 812, 1, 809
18, 80.54129999999999, 2597, 1, 2453
19, 21.886499999999998, 672, 1, 654
20, 3.28975, 117, 1, 62
21, 37.6032, 1435, 1, 1420
22, 25.4868, 380, 2, 316
23, 5.49511, 169, 2, 159
24, 71.0716, 1968, 2, 1913
25, 20.531299999999998, 272, 2, 239
26, 25.0026, 418, 2, 345
27, 11.053500000000001, 437, 2, 364
28, 48.8042, 1386, 2, 1316
29, 62.638200000000005, 1638, 2, 1618
30, 70.99709999999999, 2173, 2, 2170
31, 7.62497, 182, 2, 165
32, 8.4827, 306, 2, 300
33, 108.905, 2322, 2, 2237
34, 16.7543, 529, 2, 525
35, 68.7051, 2115, 2, 2087
36, 90.2002, 2704, 2, 2615
37, 22.5852, 483, 2, 385
38, 33.2766, 1156, 2, 1036
39, 22.5122, 783, 2, 752
40, 4.03749, 121, 2, 91
41, 14.0983, 550, 2, 499
42, 23.2834, 783, 2, 748
43, 9.33387, 323, 2, 303
44, 20.7768, 756, 2, 711
45, 26.1015, 506, 3, 447
46, 18.7838, 725, 3, 674
47, 5.68146, 182, 3, 181
48, 30.2362, 1024, 3, 957
49, 4.68909, 168, 3, 158
50, 30.596999999999998, 1088, 3, 1025
51, 37.9312, 1517, 3, 1410
52, 59.8801, 2156, 3, 2059
53, 37.7543, 1296, 3, 1218
54, 9.51432, 320, 3, 252
55, 9.99832, 361, 3, 300
56, 132.34199999999998, 4761, 3, 4646
57, 105.97800000000001, 2184, 3, 2044
58, 14.042499999999999, 441, 3, 441
59, 24.4089, 868, 3, 792
60, 36.447100000000006, 899, 4, 798
61, 6.3070699999999995, 204, 4, 203
62, 22.6982, 728, 4, 653
63, 33.9046, 930, 4, 909
64, 19.8693, 756, 4, 725
65, 4.64526, 144, 4, 144
66, 31.730500000000003, 728, 4, 642
67, 56.8607, 2193, 4, 2174
68, 0.902342, 16, 4, 15
69, 1.73247, 40, 4, 40
70, 151.641, 4556, 4, 4435
71, 0.295155, 2, 4, 1
72, 11.2442, 374, 4, 373
73, 57.818099999999994, 1596, 4, 1555
74, 0.403515, 4, 4, 4
75, 129.75400000000002, 2650, 4, 2595
76, 1.75911, 54, 4, 54
77, 46.0963, 1716, 5, 1647
78, 39.0281, 1470, 5, 1361
79, 13.8978, 462, 5, 422
80, 20.793, 399, 5, 374
81, 15.0786, 552, 5, 496
82, 31.276400000000002, 1023, 5, 970
83, 0.662012, 15, 5, 13
84, 51.6556, 2024, 5, 1860
85, 24.2385, 899, 5, 839
86, 5.26682, 168, 5, 155
87, 29.1576, 1156, 5, 1067
88, 30.4584, 806, 5, 798
89, 6.06417, 195, 5, 147
90, 105.582, 2340, 5, 2301
91, 20.0675, 462, 6, 397
92, 20.9049, 676, 6, 644
93, 27.6115, 552, 6, 549
94, 27.4785, 1056, 6, 991
95, 7.56909, 240, 6, 209
96, 32.7235, 1152, 6, 1071
97, 2.23879, 72, 6, 30
98, 14.5466, 504, 6, 459
99, 130.245, 2970, 6, 2837
100, 32.4586, 1116, 6, 1067
101, 30.351300000000002, 1088, 6, 1009
102, 5.65111, 182, 6, 135
103, 61.925399999999996, 2254, 6, 2172
104, 10.2267, 306, 6, 275
105, 1.34837, 36, 7, 27
106, 43.1556, 1560, 7, 1520
107, 37.0417, 928, 7, 843
108, 40.524499999999996, 1505, 7, 1420
109, 15.708900000000002, 294, 7, 258
110, 6.03726, 210, 7, 166
111, 41.0202, 1254, 7, 1195
112, 116.95400000000001, 2450, 7, 2393
113, 53.2801, 1332, 7, 1326
114, 5.07938, 182, 7, 128
115, 33.279999999999994, 729, 8, 640
116, 12.8673, 462, 8, 374
117, 31.735, 992, 8, 937
118, 4.11291, 132, 8, 109
119, 103.34500000000001, 3416, 8, 3188
120, 11.331900000000001, 441, 8, 381
121, 29.7102, 1056, 8, 948
122, 46.229600000000005, 1330, 8, 1222
123, 206.83499999999998, 6216, 8, 6068
124, 28.015, 805, 8, 751
125, 88.1725, 2040, 8, 1981
126, 9.47781, 324, 8, 246
127, 24.2689, 928, 8, 919
128, 21.819399999999998, 598, 8, 588
129, 31.794000000000004, 1152, 8, 1019
130, 0.74597, 16, 8, 2
131, 53.469500000000004, 1763, 8, 1697
132, 114.67399999999999, 3021, 9, 2901
133, 32.5234, 1122, 9, 1042
134, 28.4293, 529, 9, 472
135, 10.404, 361, 9, 313
136, 9.8872, 357, 9, 336
137, 1.73555, 42, 9, 41
138, 0.208901, 0, 9, 0
139, 0.125931, 0, 9, 0
140, 0.334766, 4, 9, 0
141, 8.45163, 304, 9, 230
142, 3.97815, 143, 9, 132
143, 130.492, 2808, 9, 2704
144, 30.7258, 1056, 9, 1008
145, 9.132639999999999, 256, 9, 248
146, 33.886399999999995, 754, 9, 716
147, 36.7808, 1224, 9, 1206
148, 11.6406, 441, 9, 325
149, 20.8393, 768, 9, 666
150, 35.373000000000005, 1209, 9, 1136
151, 10.906799999999999, 380, 9, 310
152, 7.64694, 288, 9, 183
153, 65.1986, 2250, 9, 2157
154, 3.23646, 121, 9, 117
155, 32.601400000000005, 930, 9, 804
156, 29.5321, 1155, 9, 1059
157, 30.977899999999998, 870, 9, 841
158, 42.1426, 1092, 9, 1059
159, 55.7579, 1260, 9, 1171
160, 8.00399, 255, 9, 219
161, 11.4672, 336, 9, 288
162, 29.1199, 1120, 9, 1073
163, 2.90075, 99, 9, 71
164, 3.0443100000000003, 88, 10, 79
165, 45.018299999999996, 1260, 10, 1120
166, 29.361600000000003, 1015, 10, 958
