Paragraph, AlgoTime(ms), Result Matrix, Chapter, Zero Entries
0, 6.842370000000001, 242, 1, 231
1, 3.77508, 135, 1, 118
2, 20.4236, 784, 1, 697
3, 8.49682, 288, 1, 245
4, 38.07640000000001, 1056, 1, 1005
5, 34.3042, 1190, 1, 1111
6, 10.812199999999999, 374, 1, 368
7, 16.3157, 648, 1, 631
8, 4.88968, 143, 1, 118
9, 39.183099999999996, 930, 1, 813
10, 25.5319, 506, 1, 454
11, 11.175600000000001, 400, 1, 372
12, 11.5455, 399, 1, 358
13, 21.749399999999998, 728, 1, 629
14, 10.6932, 380, 1, 359
15, 42.2941, 1225, 1, 1197
16, 35.1096, 1254, 1, 1223
17, 34.8781, 812, 1, 809
18, 83.54090000000001, 2597, 1, 2453
19, 19.7115, 672, 1, 654
20, 3.12676, 117, 1, 62
21, 49.2792, 1435, 1, 1420
22, 9.67891, 380, 2, 316
23, 5.39889, 169, 2, 159
24, 94.09679999999999, 1968, 2, 1913
25, 7.70903, 272, 2, 239
26, 11.226999999999999, 418, 2, 345
27, 11.0005, 437, 2, 364
28, 36.183800000000005, 1386, 2, 1316
29, 81.1722, 1638, 2, 1618
30, 57.3885, 2173, 2, 2170
31, 4.74647, 182, 2, 165
32, 26.9285, 306, 2, 300
33, 65.5126, 2322, 2, 2237
34, 38.745000000000005, 529, 2, 525
35, 54.362300000000005, 2115, 2, 2087
36, 86.5372, 2704, 2, 2615
37, 16.903100000000002, 483, 2, 385
38, 30.8596, 1156, 2, 1036
39, 22.041700000000002, 783, 2, 752
40, 3.98874, 121, 2, 91
41, 14.9512, 550, 2, 499
42, 22.1401, 783, 2, 748
43, 27.3506, 323, 2, 303
44, 36.1852, 756, 2, 711
45, 25.6462, 506, 3, 447
46, 27.0666, 725, 3, 674
47, 5.67319, 182, 3, 181
48, 27.858999999999998, 1024, 3, 957
49, 4.54539, 168, 3, 158
50, 29.546400000000002, 1088, 3, 1025
51, 41.5827, 1517, 3, 1410
52, 61.0904, 2156, 3, 2059
53, 32.9599, 1296, 3, 1218
54, 9.33671, 320, 3, 252
55, 9.7847, 361, 3, 300
56, 169.609, 4761, 3, 4646
57, 64.2733, 2184, 3, 2044
